inference_status,diagnostic_status,q,k,schedule,seed,codeword,codeword_index,rows,intended_sign,proxy_sign,intended_follow_rate,proxy_follow_rate,tie_rate,routing_class
exploratory_post_hoc_boundary_specific,fixed_post_hoc_retraining_replay,0.75,4,delayed_carry,11,-1 -1 -1 -1,0,634,1,-1,0.0,1.0,0.0,proxy_on_all_rows
exploratory_post_hoc_boundary_specific,fixed_post_hoc_retraining_replay,0.75,4,delayed_carry,11,-1 -1 -1 +1,8,583,-1,1,0.0,1.0,0.0,proxy_on_all_rows
exploratory_post_hoc_boundary_specific,fixed_post_hoc_retraining_replay,0.75,4,delayed_carry,11,-1 -1 +1 -1,4,605,-1,1,0.0,1.0,0.0,proxy_on_all_rows
exploratory_post_hoc_boundary_specific,fixed_post_hoc_retraining_replay,0.75,4,delayed_carry,11,-1 -1 +1 +1,12,604,1,-1,1.0,0.0,0.0,intended_on_all_rows
exploratory_post_hoc_boundary_specific,fixed_post_hoc_retraining_replay,0.75,4,delayed_carry,11,-1 +1 -1 -1,2,641,-1,1,0.0,1.0,0.0,proxy_on_all_rows
exploratory_post_hoc_boundary_specific,fixed_post_hoc_retraining_replay,0.75,4,delayed_carry,11,-1 +1 -1 +1,10,637,1,-1,1.0,0.0,0.0,intended_on_all_rows
exploratory_post_hoc_boundary_specific,fixed_post_hoc_retraining_replay,0.75,4,delayed_carry,11,-1 +1 +1 -1,6,608,1,-1,0.0,1.0,0.0,proxy_on_all_rows
exploratory_post_hoc_boundary_specific,fixed_post_hoc_retraining_replay,0.75,4,delayed_carry,11,-1 +1 +1 +1,14,666,-1,1,0.0,1.0,0.0,proxy_on_all_rows
exploratory_post_hoc_boundary_specific,fixed_post_hoc_retraining_replay,0.75,4,delayed_carry,11,+1 -1 -1 -1,1,639,-1,1,0.0,1.0,0.0,proxy_on_all_rows
exploratory_post_hoc_boundary_specific,fixed_post_hoc_retraining_replay,0.75,4,delayed_carry,11,+1 -1 -1 +1,9,615,1,-1,0.9934959349593496,0.0065040650406504065,0.0,mostly_intended
exploratory_post_hoc_boundary_specific,fixed_post_hoc_retraining_replay,0.75,4,delayed_carry,11,+1 -1 +1 -1,5,621,1,-1,0.0,1.0,0.0,proxy_on_all_rows
exploratory_post_hoc_boundary_specific,fixed_post_hoc_retraining_replay,0.75,4,delayed_carry,11,+1 -1 +1 +1,13,634,-1,1,0.0,1.0,0.0,proxy_on_all_rows
exploratory_post_hoc_boundary_specific,fixed_post_hoc_retraining_replay,0.75,4,delayed_carry,11,+1 +1 -1 -1,3,623,1,-1,0.0,1.0,0.0,proxy_on_all_rows
exploratory_post_hoc_boundary_specific,fixed_post_hoc_retraining_replay,0.75,4,delayed_carry,11,+1 +1 -1 +1,11,596,-1,1,0.0,1.0,0.0,proxy_on_all_rows
exploratory_post_hoc_boundary_specific,fixed_post_hoc_retraining_replay,0.75,4,delayed_carry,11,+1 +1 +1 -1,7,636,-1,1,1.0,0.0,0.0,intended_on_all_rows
exploratory_post_hoc_boundary_specific,fixed_post_hoc_retraining_replay,0.75,4,delayed_carry,11,+1 +1 +1 +1,15,658,1,-1,0.0,1.0,0.0,proxy_on_all_rows
exploratory_post_hoc_boundary_specific,fixed_post_hoc_retraining_replay,0.75,4,delayed_carry,37,-1 -1 -1 -1,0,621,1,-1,0.0,1.0,0.0,proxy_on_all_rows
