inference_status,contrast_status,q,k,cell_label,effect,formula,outcome,estimate,ci_low,ci_high,n_seeds,n_pairs
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,final_rho_y,-0.01931,-0.04532,8.00000000000023e-05,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,final_intended_probability,-0.01930421991368051,-0.04576705451430481,8.194439510196547e-05,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,phase_b_rho_y_area,-32.149235,-66.76088624999998,-4.313387499999999,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,phase_b_mean_rho_y,-0.016204251512096774,-0.033706604901713705,-0.003846361580141128,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,crossing_observed,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,restricted_crossing_phase_b_updates,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,final_iid_accuracy,-0.005574999999999997,-0.012575000000000003,-0.0005606249999999401,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,final_iid_reward,-0.005574999999999997,-0.01200375000000001,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,final_policy_entropy,-4.747068520000956e-05,-0.0001172822538601374,-3.7308228297233077e-06,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,boundary_rho_y,0.0020399999999999997,0.0,0.00608,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,boundary_policy_entropy,0.07592630882782472,0.06010486920650474,0.09459354397323741,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,boundary_proxy_hard_flip,-0.003939999999999999,-0.011780000000000002,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,boundary_proxy_probability_ate,-0.04019655346937706,-0.05574825984195478,-0.026723340750851792,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,boundary_exact_hard_flip,0.0017475000000000001,0.0,0.0052025000000000005,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,boundary_exact_probability_ate,-0.0008289590979353969,-0.001468957296108638,-0.00038328371098825855,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,final_proxy_hard_flip,0.019309999999999994,-8.00000000000134e-05,0.045320000000000006,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_A_effect_when_phase_B_zero,1*early_only + -1*zero_zero,final_proxy_probability_ate,0.01930282735603255,-8.409010224860264e-05,0.05087624997315534,10,10
