inference_status,diagnostic_status,q,k,cell_label,schedule,plateau_spacing,n_runs,n_within_0_01,fraction_within_0_01,mean_absolute_residual,max_absolute_residual,plateau_index_counts
exploratory_post_hoc_boundary_specific,unregistered_exploratory_description,0.75,4,responsive boundary,zero_zero,0.0625,10,10,1.0,0.0009000000000000001,0.003699999999999995,"{""0"": 6, ""1"": 2, ""2"": 1, ""4"": 1}"
exploratory_post_hoc_boundary_specific,unregistered_exploratory_description,0.75,4,responsive boundary,high_high,0.0625,10,10,1.0,0.0018500000000000016,0.0050000000000000044,"{""4"": 6, ""7"": 1, ""16"": 3}"
exploratory_post_hoc_boundary_specific,unregistered_exploratory_description,0.75,4,responsive boundary,early_only,0.0625,10,10,1.0,0.0002599999999999998,0.0023000000000000034,"{""0"": 8, ""1"": 1, ""4"": 1}"
exploratory_post_hoc_boundary_specific,unregistered_exploratory_description,0.75,4,responsive boundary,delayed_carry,0.0625,10,10,1.0,0.003070000000000001,0.005599999999999994,"{""1"": 1, ""2"": 1, ""4"": 8}"
exploratory_post_hoc_boundary_specific,unregistered_exploratory_description,0.75,4,responsive boundary,delayed_actor_reset,0.0625,10,10,1.0,0.0023299999999999987,0.004399999999999987,"{""2"": 1, ""3"": 1, ""4"": 8}"
exploratory_post_hoc_boundary_specific,unregistered_exploratory_description,0.75,4,responsive boundary,delayed_critic_reset,0.0625,10,10,1.0,0.003090000000000001,0.007099999999999995,"{""2"": 1, ""4"": 8, ""6"": 1}"
exploratory_post_hoc_boundary_specific,unregistered_exploratory_description,0.75,4,responsive boundary,all_schedules,0.0625,60,60,1.0,0.001916666666666667,0.007099999999999995,"{""0"": 14, ""1"": 4, ""2"": 4, ""3"": 1, ""4"": 32, ""6"": 1, ""7"": 1, ""16"": 3}"
exploratory_post_hoc_boundary_specific,unregistered_exploratory_description,0.9,3,preselected comparison,zero_zero,0.125,10,10,1.0,0.0,0.0,"{""0"": 10}"
exploratory_post_hoc_boundary_specific,unregistered_exploratory_description,0.9,3,preselected comparison,high_high,0.125,10,10,1.0,0.0009699999999999986,0.008699999999999986,"{""0"": 8, ""2"": 2}"
exploratory_post_hoc_boundary_specific,unregistered_exploratory_description,0.9,3,preselected comparison,early_only,0.125,10,10,1.0,0.00016999999999999793,0.0010999999999999899,"{""0"": 8, ""2"": 2}"
exploratory_post_hoc_boundary_specific,unregistered_exploratory_description,0.9,3,preselected comparison,delayed_carry,0.125,10,10,1.0,0.0032599999999999964,0.009399999999999992,"{""0"": 3, ""2"": 7}"
exploratory_post_hoc_boundary_specific,unregistered_exploratory_description,0.9,3,preselected comparison,delayed_actor_reset,0.125,10,10,1.0,0.0019300000000000012,0.008699999999999986,"{""0"": 6, ""2"": 4}"
exploratory_post_hoc_boundary_specific,unregistered_exploratory_description,0.9,3,preselected comparison,delayed_critic_reset,0.125,10,10,1.0,0.002639999999999998,0.008699999999999986,"{""0"": 3, ""1"": 1, ""2"": 6}"
exploratory_post_hoc_boundary_specific,unregistered_exploratory_description,0.9,3,preselected comparison,all_schedules,0.125,60,60,1.0,0.0014949999999999987,0.009399999999999992,"{""0"": 38, ""1"": 1, ""2"": 21}"
