inference_status,run_id,q,k,cell,cell_label,schedule,schedule_label,seed,boundary_rho_y,boundary_intended_probability,boundary_policy_entropy,boundary_iid_accuracy,final_rho_y,final_intended_probability,final_policy_entropy,final_iid_accuracy,final_iid_reward,phase_b_rho_y_area,phase_b_mean_rho_y,crossing_observed,crossing_global_step,crossing_phase_b_updates,restricted_crossing_phase_b_updates,crossing_censor_updates,boundary_proxy_hard_flip,boundary_proxy_probability_ate,boundary_exact_hard_flip,boundary_exact_probability_ate,final_proxy_hard_flip,final_proxy_probability_ate,final_exact_hard_flip,final_exact_probability_ate,actor_l2_from_boundary,actor_relative_l2_from_boundary,critic_l2_from_boundary,critic_relative_l2_from_boundary,phase_b_critic_loss_log_grid_mean,phase_b_critic_loss_final_logged,exact_hard_flip_change,proxy_hard_flip_change,exact_probability_ate_change,proxy_probability_ate_change,final_quantized_rho_y,final_quantization_plateau_index,final_quantization_abs_residual,final_within_0_01_of_interaction_plateau
exploratory_post_hoc_boundary_specific,032caec4595bdcb8549d,0.75,4,responsive,responsive boundary,high_high,continuous,37,0.0,0.014645971866601036,0.07173753259173278,0.75,0.245,0.24495493318500403,0.00028818819218424203,0.812,0.812,392.0576,0.19760967741935484,0,,,1984.0,1984,1.0,0.9711520171901815,0.0,-0.0003166768298135104,0.755,0.7550414697583797,0.245,-0.24495146415331898,8.770836145847174,1.0700305935655745,11.094718167846997,0.9438963257962835,0.03630762411683255,4.659415208152495e-05,0.245,-0.245,-0.24463478732350546,-0.2161105474318018,0.25,4,0.0050000000000000044,1
exploratory_post_hoc_boundary_specific,06aa05fbdf4da58b9211,0.9,3,negative_control,preselected comparison,delayed_critic_reset,delayed + critic reset,37,0.0,0.0007634223848692289,0.005674495134085557,0.9,0.2587,0.258697869356988,2.171413416275971e-05,0.92725,0.92725,314.57919999999996,0.158558064516129,0,,,1984.0,1984,1.0,0.9986121744784827,0.0,-0.0001231944250841307,0.7413,0.7413015427521179,0.2587,-0.2586972164187252,5.531813021208896,0.6149612371422657,7.642681720093399,0.6459566741270298,0.016545806862545386,6.602607754757628e-05,0.2587,-0.25870000000000004,-0.25857402199364105,-0.2573106317263648,0.25,2,0.008699999999999986,1
exploratory_post_hoc_boundary_specific,072c5e2046d2cca4f7b7,0.75,4,responsive,responsive boundary,delayed_carry,delayed,37,0.0,0.0009597926721862562,0.007171688859402539,0.75,0.0613,0.061299546100804105,5.125958563392034e-06,0.76325,0.76325,74.5408,0.03757096774193549,0,,,1984.0,1984,1.0,0.9980707819933389,0.0,-3.659221159285019e-06,0.9387,0.9386984560595203,0.0613,-0.06129771038193707,6.444468835575724,0.7344805936408618,11.094909970761414,0.9436904682105453,0.035968444650480595,2.817553649947513e-05,0.0613,-0.06130000000000002,-0.06129405116077778,-0.05937232593381858,0.0625,1,0.0011999999999999997,1
exploratory_post_hoc_boundary_specific,0bb8dd51de3d6adfab38,0.9,3,negative_control,preselected comparison,early_only,early only,67,0.0,0.0013987608357813614,0.008724633534929548,0.9,0.0,1.3213689666053403e-07,1.807166168781708e-06,0.9,0.9,0.0,0.0,0,,,1984.0,1984,1.0,0.9973338094087694,0.0,-4.8199268167078926e-05,1.0,0.9999997787570719,0.0,-3.789129227682471e-08,3.272505262003324,0.3602700339880076,9.575226092820689,0.8022208643001525,0.01546466036771217,2.4302740712300874e-05,0.0,0.0,4.81613768748021e-05,0.0026659693483025437,0.0,0,0.0,1
exploratory_post_hoc_boundary_specific,13641632f4c072448875,0.75,4,responsive,responsive boundary,zero_zero,never,97,0.0,0.0005111211979946192,0.00398622821141249,0.75,0.0,5.764138595191918e-07,7.64668344803075e-06,0.75,0.75,0.0,0.0,0,,,1984.0,1984,1.0,0.9989925586260818,0.0,-1.642402828690746e-05,1.0,0.9999988140444872,0.0,-1.7038363693774697e-08,2.580235827379395,0.28398716502620774,11.3230503615566,0.9553727402484373,0.03638461346733814,2.3838885681470856e-05,0.0,0.0,1.6406989923213685e-05,0.0010062554184053774,0.0,0,0.0,1
exploratory_post_hoc_boundary_specific,15aea9d2a597ba664bc0,0.9,3,negative_control,preselected comparison,delayed_actor_reset,delayed + actor-Adam reset,53,0.0,0.00030774625126520316,0.002589745335572371,0.9,0.0,6.3143650254102e-07,8.259701737004608e-06,0.9,0.9,0.0,0.0,0,,,1984.0,1984,1.0,0.9993982823974796,0.0,-1.5271097113664763e-05,1.0,0.9999989373887883,0.0,-1.7595613437817197e-07,2.811261338290187,0.30327128497186934,9.563377048563758,0.8070512914574737,0.015331752447497599,9.51893707679119e-06,0.0,0.0,1.5095140979286591e-05,0.00060065499130868,0.0,0,0.0,1
exploratory_post_hoc_boundary_specific,179286109f9ceac6c91a,0.9,3,negative_control,preselected comparison,high_high,continuous,11,0.0,0.001374034189859211,0.009388293560209517,0.9,0.0,1.7429464410017249e-06,1.940342998896344e-05,0.9,0.9,0.0,0.0,0,,,1984.0,1984,1.0,0.9973594284860843,0.0,-0.0001204471211864742,1.0,0.9999969527789332,0.0,-5.587015398055833e-07,3.922184433617436,0.4429779992074313,7.457695722051844,0.6336836423368315,0.009145630881489645,5.497275651578093e-06,0.0,0.0,0.00011988841964666863,0.002637524292848914,0.0,0,0.0,1
exploratory_post_hoc_boundary_specific,18a1c87d856cb701a288,0.9,3,negative_control,preselected comparison,early_only,early only,11,0.0,0.001374034189859211,0.009388293560209517,0.9,0.0,1.4533094271650093e-07,2.0587819851140672e-06,0.9,0.9,0.0,0.0,0,,,1984.0,1984,1.0,0.9973594284860843,0.0,-0.0001204471211864742,1.0,0.9999996290051395,0.0,1.0452808531862118e-07,3.352623907719679,0.3786508910716669,7.4353417151741885,0.6317842126702162,0.009257038584474143,9.491584023635369e-06,0.0,0.0,0.00012055164927179283,0.0026402005190552247,0.0,0,0.0,1
exploratory_post_hoc_boundary_specific,18b785c862ee197cbe32,0.9,3,negative_control,preselected comparison,delayed_critic_reset,delayed + critic reset,53,0.0,0.00030774625126520316,0.002589745335572371,0.9,0.0,5.03924105572192e-06,5.751465421599033e-05,0.9,0.9,0.0,0.0,0,,,1984.0,1984,1.0,0.9993982823974796,0.0,-1.5271097113664763e-05,1.0,0.9999902628221987,0.0,-2.049958155720342e-07,3.076029252723647,0.3318337329150384,8.138046742310726,0.6867679795506466,0.01642827989180834,1.2674414392677136e-05,0.0,0.0,1.5066101298092728e-05,0.0005919804247190852,0.0,0,0.0,1
exploratory_post_hoc_boundary_specific,1ffd279f2794f95d1a81,0.9,3,negative_control,preselected comparison,delayed_carry,delayed,37,0.0,0.0007634223848692289,0.005674495134085557,0.9,0.2587,0.2586999610440565,5.973669865811672e-07,0.92725,0.92725,463.29599999999994,0.23351612903225802,0,,,1984.0,1984,1.0,0.9986121744784827,0.0,-0.0001231944250841307,0.7413,0.7412990704173251,0.2587,-0.25869893379508313,5.496291404184167,0.6110123658649702,6.981139599898125,0.5900433751821327,0.008166407837429255,1.18804409794393e-05,0.2587,-0.25870000000000004,-0.258575739369999,-0.2573131040611576,0.25,2,0.008699999999999986,1
