inference_status,q,k,cell,schedule,seed,phase,phase_step,global_step,rho_y
exploratory_post_hoc_boundary_specific,0.75,4,responsive,high_high,37,boundary,0,64,0.0
exploratory_post_hoc_boundary_specific,0.75,4,responsive,high_high,37,phase_b,1,65,0.0
exploratory_post_hoc_boundary_specific,0.75,4,responsive,high_high,37,phase_b,2,66,0.0
exploratory_post_hoc_boundary_specific,0.75,4,responsive,high_high,37,phase_b,4,68,0.0
exploratory_post_hoc_boundary_specific,0.75,4,responsive,high_high,37,phase_b,8,72,0.0
exploratory_post_hoc_boundary_specific,0.75,4,responsive,high_high,37,phase_b,16,80,0.0
exploratory_post_hoc_boundary_specific,0.75,4,responsive,high_high,37,phase_b,32,96,0.0024
exploratory_post_hoc_boundary_specific,0.75,4,responsive,high_high,37,phase_b,64,128,0.0
exploratory_post_hoc_boundary_specific,0.75,4,responsive,high_high,37,phase_b,128,192,0.0
exploratory_post_hoc_boundary_specific,0.75,4,responsive,high_high,37,phase_b,256,320,0.0
exploratory_post_hoc_boundary_specific,0.75,4,responsive,high_high,37,phase_b,512,576,0.245
exploratory_post_hoc_boundary_specific,0.75,4,responsive,high_high,37,phase_b,1024,1088,0.245
exploratory_post_hoc_boundary_specific,0.75,4,responsive,high_high,37,phase_b,1984,2048,0.245
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_critic_reset,37,boundary,0,64,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_critic_reset,37,phase_b,1,65,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_critic_reset,37,phase_b,2,66,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_critic_reset,37,phase_b,4,68,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_critic_reset,37,phase_b,8,72,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_critic_reset,37,phase_b,16,80,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_critic_reset,37,phase_b,32,96,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_critic_reset,37,phase_b,64,128,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_critic_reset,37,phase_b,128,192,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_critic_reset,37,phase_b,256,320,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_critic_reset,37,phase_b,512,576,0.0
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_critic_reset,37,phase_b,1024,1088,0.2587
exploratory_post_hoc_boundary_specific,0.9,3,negative_control,delayed_critic_reset,37,phase_b,1984,2048,0.2587
exploratory_post_hoc_boundary_specific,0.75,4,responsive,delayed_carry,37,boundary,0,64,0.0
