inference_status,cohort,goal,stage,n_runs,events,run_event_fraction,median_observed_step,event_fraction_estimate,event_fraction_ci_low,event_fraction_ci_high,event_fraction_n_seeds,restricted_step_estimate,restricted_step_ci_low,restricted_step_ci_high,restricted_step_n_seeds
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,P,solo,120,120,1.0,3.0,1.0,1.0,1.0,10,3.3,2.5,4.1,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,P,probe_generic,120,120,1.0,0.0,1.0,1.0,1.0,10,0.0,0.0,0.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,P,probe_selective,120,120,1.0,0.0,1.0,1.0,1.0,10,0.0,0.0,0.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,P,causal,120,120,1.0,8.0,1.0,1.0,1.0,10,8.341666666666667,6.524791666666667,10.15,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,P,behavior,120,120,1.0,8.0,1.0,1.0,1.0,10,8.516666666666667,6.733333333333334,10.383333333333333,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,P,pure,120,120,1.0,8.0,1.0,1.0,1.0,10,8.525,6.775,10.4,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,Q,solo,120,120,1.0,6.0,1.0,1.0,1.0,10,5.566666666666667,3.866666666666667,7.2666666666666675,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,Q,probe_generic,120,100,0.8333333333333334,45.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,1401.9583333333333,1398.3416666666667,1405.35,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,Q,probe_selective,120,101,0.8416666666666667,33,0.8416666666666666,0.8333333333333334,0.8583333333333334,10,1328.3,1189.2572916666668,1400.5835416666669,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,Q,causal,120,80,0.6666666666666666,85.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,10,2789.8333333333335,2786.8499999999995,2792.2833333333333,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,Q,behavior,120,79,0.6583333333333333,85,0.6583333333333334,0.6416666666666666,0.6666666666666667,10,2857.3916666666673,2787.1916666666666,2994.3833333333337,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,Q,pure,120,79,0.6583333333333333,85,0.6583333333333334,0.6416666666666666,0.6666666666666667,10,2857.3916666666673,2787.1916666666666,2994.0000000000005,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,Y,solo,120,120,1.0,28.5,1.0,1.0,1.0,10,26.25,24.5,27.75,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,Y,probe_generic,120,99,0.825,575,0.825,0.8083333333333332,0.8333333333333334,10,1958.5666666666668,1850.8495833333332,2094.936041666667,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,Y,probe_selective,120,100,0.8333333333333334,418.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,1859.0416666666665,1805.1312500000004,1917.580625,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,Y,causal,120,76,0.6333333333333333,575.0,0.6333333333333333,0.5916666666666666,0.6833333333333333,10,3789.1833333333334,3535.316041666667,4052.3643749999997,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,Y,behavior,120,76,0.6333333333333333,575.0,0.6333333333333333,0.5833333333333333,0.6833333333333333,10,3787.875,3529.6829166666666,4051.3870833333335,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,Y,pure,120,76,0.6333333333333333,575.0,0.6333333333333333,0.5833333333333334,0.6833333333333333,10,3789.1833333333334,3528.697708333333,4049.7885416666672,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,P,solo,120,120,1.0,3.0,1.0,1.0,1.0,10,3.2,2.2,4.3,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,P,probe_generic,120,120,1.0,0.0,1.0,1.0,1.0,10,0.5416666666666667,0.0,1.4000000000000001,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,P,probe_selective,120,120,1.0,0.0,1.0,1.0,1.0,10,0.0,0.0,0.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,P,causal,120,120,1.0,7.0,1.0,1.0,1.0,10,7.5666666666666655,6.166666666666666,9.066666666666666,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,P,behavior,120,120,1.0,7.0,1.0,1.0,1.0,10,7.575,6.158333333333333,9.117083333333335,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,P,pure,120,120,1.0,7.0,1.0,1.0,1.0,10,7.6,6.249583333333334,9.183333333333334,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,Q,solo,120,120,1.0,5.0,1.0,1.0,1.0,10,6.316666666666667,4.5166666666666675,8.333750000000002,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,Q,probe_generic,120,100,0.8333333333333334,45.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,1403.2416666666666,1399.225,1407.4170833333333,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,Q,probe_selective,120,100,0.8333333333333334,33.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,1397.7666666666667,1394.0577083333335,1401.45,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,Q,causal,120,79,0.6583333333333333,85,0.6583333333333334,0.6416666666666666,0.6666666666666667,10,2858.166666666667,2787.4666666666667,2993.166666666667,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,Q,behavior,120,79,0.6583333333333333,85,0.6583333333333334,0.6416666666666666,0.6666666666666667,10,2858.166666666667,2787.4666666666667,2994.3666666666663,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,Q,pure,120,79,0.6583333333333333,85,0.6583333333333334,0.6416666666666666,0.6666666666666667,10,2858.166666666667,2787.4666666666667,2994.3999999999996,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,Y,solo,120,120,1.0,24.0,1.0,1.0,1.0,10,28.6,24.8,32.4,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,Y,probe_generic,120,98,0.8166666666666667,418.0,0.8166666666666668,0.7916666666666667,0.8333333333333334,10,2075.3833333333337,1865.8783333333336,2338.6931250000002,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,Y,probe_selective,120,99,0.825,418,0.825,0.8083333333333332,0.8333333333333334,10,1925.3333333333333,1788.3366666666666,2100.2641666666664,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,Y,causal,120,77,0.6416666666666667,418,0.6416666666666666,0.5833333333333334,0.7,10,3677.7249999999995,3347.4239583333333,4021.3393749999996,10
