inference_status,factor,comparison,cohort,outcome,matched_pairs,estimate,ci_low,ci_high,n_seeds
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,final_behavior_P,40,-0.044866943359375,-0.05263702392578125,-0.03426437377929687,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,final_behavior_P,40,-0.036083984375,-0.04601455688476563,-0.026116790771484374,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,final_behavior_P,80,-0.0404754638671875,-0.047345123291015624,-0.03296669006347656,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,final_behavior_Q,40,0.061724853515625,0.05687255859375,0.06751739501953126,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,final_behavior_Q,40,0.08221435546875,0.06438507080078125,0.10218017578125,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,final_behavior_Q,80,0.0719696044921875,0.062001953125,0.08346290588378907,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,final_behavior_Y,40,-0.059222412109375,-0.06641952514648437,-0.052397766113281244,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,final_behavior_Y,40,-0.07763671875,-0.09859130859375,-0.059459991455078125,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,final_behavior_Y,80,-0.0684295654296875,-0.08174148559570313,-0.05849266052246094,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,final_causal_P,40,-0.0447906494140625,-0.052768096923828126,-0.03406944274902344,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,final_causal_P,40,-0.0361572265625,-0.04604278564453125,-0.026247482299804687,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,final_causal_P,80,-0.04047393798828125,-0.04747932434082031,-0.033029098510742184,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,final_causal_Q,40,0.0618499755859375,0.05686492919921875,0.06772323608398438,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,final_causal_Q,40,0.08203277587890626,0.06376548767089844,0.10265422821044923,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,final_causal_Q,80,0.07194137573242188,0.061779747009277346,0.0836532974243164,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,final_causal_Y,40,-0.059227905273437506,-0.0664726257324219,-0.05226571655273437,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,final_causal_Y,40,-0.07768920898437501,-0.09877333068847656,-0.05979087829589844,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,final_causal_Y,80,-0.06845855712890625,-0.08115249633789062,-0.05853166198730468,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,final_probe_selectivity_Q,40,0.147802734375,0.12797821044921875,0.16768829345703126,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,final_probe_selectivity_Q,40,0.14302978515625,0.13151748657226564,0.15472427368164063,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,final_probe_selectivity_Q,80,0.145416259765625,0.1336882781982422,0.15704086303710937,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,final_probe_selectivity_Y,40,-0.021173095703125,-0.030165557861328123,-0.011838531494140617,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,final_probe_selectivity_Y,40,-0.029620361328125,-0.041278533935546875,-0.0210693359375,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,final_probe_selectivity_Y,80,-0.025396728515625,-0.032755050659179684,-0.018630828857421875,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,final_pure_P,40,0.0,0.0,0.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,final_pure_P,40,0.0,0.0,0.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,final_pure_P,80,0.0,0.0,0.0,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,final_pure_Q,40,0.0,0.0,0.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,final_pure_Q,40,0.0,0.0,0.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,final_pure_Q,80,0.0,0.0,0.0,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,final_pure_Y,40,-0.275,-0.325,-0.25,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,final_pure_Y,40,-0.325,-0.4,-0.25,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,final_pure_Y,80,-0.3,-0.35,-0.2625,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,Q_behavior_observed,40,0.975,0.925,1.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,Q_behavior_observed,40,0.975,0.925,1.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,Q_behavior_observed,80,0.975,0.9375,1.0,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,Y_behavior_observed,40,-0.275,-0.325,-0.25,10
