inference_status,run_id,seed,cohort,q_q,k_y,overlap,P_solo_observed,P_solo_event_step,P_solo_confirmation_step,P_solo_lower_bound,P_solo_upper_bound,P_solo_censoring,P_solo_restricted_step,P_probe_generic_observed,P_probe_generic_event_step,P_probe_generic_confirmation_step,P_probe_generic_lower_bound,P_probe_generic_upper_bound,P_probe_generic_censoring,P_probe_generic_restricted_step,P_probe_selective_observed,P_probe_selective_event_step,P_probe_selective_confirmation_step,P_probe_selective_lower_bound,P_probe_selective_upper_bound,P_probe_selective_censoring,P_probe_selective_restricted_step,P_behavior_observed,P_behavior_event_step,P_behavior_confirmation_step,P_behavior_lower_bound,P_behavior_upper_bound,P_behavior_censoring,P_behavior_restricted_step,P_causal_observed,P_causal_event_step,P_causal_confirmation_step,P_causal_lower_bound,P_causal_upper_bound,P_causal_censoring,P_causal_restricted_step,P_pure_observed,P_pure_event_step,P_pure_confirmation_step,P_pure_lower_bound,P_pure_upper_bound,P_pure_censoring,P_pure_restricted_step,P_causal_minus_probe_selective_lag,P_causal_minus_probe_selective_interval_relation,P_behavior_minus_probe_selective_lag,P_behavior_minus_probe_selective_interval_relation,P_behavior_minus_causal_lag,P_behavior_minus_causal_interval_relation,Q_solo_observed,Q_solo_event_step,Q_solo_confirmation_step,Q_solo_lower_bound,Q_solo_upper_bound,Q_solo_censoring,Q_solo_restricted_step,Q_probe_generic_observed,Q_probe_generic_event_step,Q_probe_generic_confirmation_step,Q_probe_generic_lower_bound,Q_probe_generic_upper_bound,Q_probe_generic_censoring,Q_probe_generic_restricted_step,Q_probe_selective_observed,Q_probe_selective_event_step,Q_probe_selective_confirmation_step,Q_probe_selective_lower_bound,Q_probe_selective_upper_bound,Q_probe_selective_censoring,Q_probe_selective_restricted_step,Q_behavior_observed,Q_behavior_event_step,Q_behavior_confirmation_step,Q_behavior_lower_bound,Q_behavior_upper_bound,Q_behavior_censoring,Q_behavior_restricted_step,Q_causal_observed,Q_causal_event_step,Q_causal_confirmation_step,Q_causal_lower_bound,Q_causal_upper_bound,Q_causal_censoring,Q_causal_restricted_step,Q_pure_observed,Q_pure_event_step,Q_pure_confirmation_step,Q_pure_lower_bound,Q_pure_upper_bound,Q_pure_censoring,Q_pure_restricted_step,Q_causal_minus_probe_selective_lag,Q_causal_minus_probe_selective_interval_relation,Q_behavior_minus_probe_selective_lag,Q_behavior_minus_probe_selective_interval_relation,Q_behavior_minus_causal_lag,Q_behavior_minus_causal_interval_relation,Y_solo_observed,Y_solo_event_step,Y_solo_confirmation_step,Y_solo_lower_bound,Y_solo_upper_bound,Y_solo_censoring,Y_solo_restricted_step,Y_probe_generic_observed,Y_probe_generic_event_step,Y_probe_generic_confirmation_step,Y_probe_generic_lower_bound,Y_probe_generic_upper_bound,Y_probe_generic_censoring,Y_probe_generic_restricted_step,Y_probe_selective_observed,Y_probe_selective_event_step,Y_probe_selective_confirmation_step,Y_probe_selective_lower_bound,Y_probe_selective_upper_bound,Y_probe_selective_censoring,Y_probe_selective_restricted_step,Y_behavior_observed,Y_behavior_event_step,Y_behavior_confirmation_step,Y_behavior_lower_bound,Y_behavior_upper_bound,Y_behavior_censoring,Y_behavior_restricted_step,Y_causal_observed,Y_causal_event_step,Y_causal_confirmation_step,Y_causal_lower_bound,Y_causal_upper_bound,Y_causal_censoring,Y_causal_restricted_step,Y_pure_observed,Y_pure_event_step,Y_pure_confirmation_step,Y_pure_lower_bound,Y_pure_upper_bound,Y_pure_censoring,Y_pure_restricted_step,Y_causal_minus_probe_selective_lag,Y_causal_minus_probe_selective_interval_relation,Y_behavior_minus_probe_selective_lag,Y_behavior_minus_probe_selective_interval_relation,Y_behavior_minus_causal_lag,Y_behavior_minus_causal_interval_relation,compressed_phase_sequence,goal_sequence,goal_transition_count,distinct_pure_goals,goal_cycle,time_share_P,time_share_Q,time_share_Y,time_share_D,bridge_phase,bridge_taxonomy,bridge_signature,bridge_to_final_phase,bridge_to_final_taxonomy,bridge_behavior_P,bridge_causal_P,final_behavior_P,final_causal_P,final_probe_P,final_probe_selectivity_P,final_pure_P,bridge_behavior_Q,bridge_causal_Q,final_behavior_Q,final_causal_Q,final_probe_Q,final_probe_selectivity_Q,final_pure_Q,bridge_behavior_Y,bridge_causal_Y,final_behavior_Y,final_causal_Y,final_probe_Y,final_probe_selectivity_Y,final_pure_Y,final_phase,final_taxonomy,final_signature,final_signature_bits,final_function_family,final_essential_variables,final_essential_variable_count,final_monotone_in_candidates,final_nearest_named_rules,final_nearest_named_hamming,final_tuple_consistency,final_codeword_consistency,final_nuisance_consistency,final_tuple_composite,final_codeword_patch,final_nuisance_sensitive,final_nested_training_support_accuracy,final_absent_q_only_accuracy
adaptive_exploratory_posthoc_with_fresh_seed_replication,5541a56ca6cb92cb3a32,11,original,0.9,3,independent,1,5,7,4,5,interval,5,1,0,1,0,0,left,0,1,0,1,0,0,left,0,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,7,probe_selective_before_causal,7,probe_selective_before_behavior,0,unresolved_on_log_grid,1,7,9,5,7,interval,7,1,33,45,24,33,interval,33,1,24,33,17,24,interval,24,0,,,8192,,right,8192,0,,,8192,,right,8192,0,,,8192,,right,8192,,censored,,censored,,censored,1,9,13,7,9,interval,9,1,222,304,161,222,interval,222,1,222,304,161,222,interval,222,1,304,418,222,304,interval,304,1,304,418,222,304,interval,304,1,304,418,222,304,interval,304,82,unresolved_on_log_grid,82,unresolved_on_log_grid,0,unresolved_on_log_grid,D -> P -> D -> Y,P -> Y,1,2,0,0.00823974609375,0.0,0.9678955078125,0.02386474609375,Y,tuple:pure_Y,85,Y -> Y,tuple:pure_Y -> tuple:pure_Y,0.5,0.5,0.5,0.5,0.994140625,0.327880859375,0,0.5,0.5,0.5,0.5,0.99609375,0.329833984375,0,1.0,1.0,1.0,1.0,1.0,0.333740234375,1,Y,tuple:pure_Y,85,01010101,pure_Y,Y,1,1,pure_Y,0,1.0,1.0,1.0,0,0,0,1.0,1.0
adaptive_exploratory_posthoc_with_fresh_seed_replication,6cdc3930bef6c3410abc,11,original,0.9,3,nested,1,5,7,4,5,interval,5,1,0,1,0,0,left,0,1,0,1,0,0,left,0,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,7,probe_selective_before_causal,7,probe_selective_before_behavior,0,unresolved_on_log_grid,1,9,13,7,9,interval,9,0,,,8192,,right,8192,0,,,8192,,right,8192,0,,,8192,,right,8192,0,,,8192,,right,8192,0,,,8192,,right,8192,,censored,,censored,,censored,1,9,13,7,9,interval,9,1,161,222,117,161,interval,161,1,161,222,117,161,interval,161,1,222,304,161,222,interval,222,1,222,304,161,222,interval,222,1,222,304,161,222,interval,222,61,unresolved_on_log_grid,61,unresolved_on_log_grid,0,unresolved_on_log_grid,D -> P -> D -> Y,P -> Y,1,2,0,0.0162353515625,0.0,0.97662353515625,0.00714111328125,Y,tuple:pure_Y,85,Y -> Y,tuple:pure_Y -> tuple:pure_Y,0.5,0.5,0.5,0.5,0.99853515625,0.360107421875,0,0.5,0.5,0.5,0.5,0.714599609375,0.076171875,0,1.0,1.0,1.0,1.0,1.0,0.361572265625,1,Y,tuple:pure_Y,85,01010101,pure_Y,Y,1,1,pure_Y,0,1.0,1.0,1.0,0,0,0,1.0,1.0
adaptive_exploratory_posthoc_with_fresh_seed_replication,6c8e3938bc2c7eefe8c1,11,original,0.9,5,independent,1,5,7,4,5,interval,5,1,0,1,0,0,left,0,1,0,1,0,0,left,0,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,7,probe_selective_before_causal,7,probe_selective_before_behavior,0,unresolved_on_log_grid,1,7,9,5,7,interval,7,1,33,45,24,33,interval,33,1,24,33,17,24,interval,24,0,,,8192,,right,8192,0,,,8192,,right,8192,0,,,8192,,right,8192,,censored,,censored,,censored,1,45,62,33,45,interval,45,1,790,1085,575,790,interval,790,1,790,1085,575,790,interval,790,1,1085,1491,790,1085,interval,1085,1,1085,1491,790,1085,interval,1085,1,1085,1491,790,1085,interval,1085,295,unresolved_on_log_grid,295,unresolved_on_log_grid,0,unresolved_on_log_grid,D -> P -> D -> Y,P -> Y,1,2,0,0.00823974609375,0.0,0.88555908203125,0.106201171875,Y,tuple:pure_Y,85,Y -> Y,tuple:pure_Y -> tuple:pure_Y,0.51416015625,0.51513671875,0.500244140625,0.5003662109375,0.994384765625,0.35693359375,0,0.51416015625,0.513916015625,0.500244140625,0.50048828125,0.921630859375,0.2841796875,0,0.98583984375,0.98564453125,0.999755859375,0.9998291015625,1.0,0.362548828125,1,Y,tuple:pure_Y,85,01010101,pure_Y,Y,1,1,pure_Y,0,0.999755859375,1.0,0.999755859375,0,0,0,0.9996744791666666,1.0
adaptive_exploratory_posthoc_with_fresh_seed_replication,a840f07b7dc8e9a7d7c8,11,original,0.9,5,nested,1,5,7,4,5,interval,5,1,0,1,0,0,left,0,1,0,1,0,0,left,0,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,7,probe_selective_before_causal,7,probe_selective_before_behavior,0,unresolved_on_log_grid,1,9,13,7,9,interval,9,0,,,8192,,right,8192,0,,,8192,,right,8192,0,,,8192,,right,8192,0,,,8192,,right,8192,0,,,8192,,right,8192,,censored,,censored,,censored,1,45,62,33,45,interval,45,1,575,790,418,575,interval,575,1,575,790,418,575,interval,575,1,575,790,418,575,interval,575,1,575,790,418,575,interval,575,1,575,790,418,575,interval,575,0,unresolved_on_log_grid,0,unresolved_on_log_grid,0,unresolved_on_log_grid,D -> P -> D -> Y,P -> Y,1,2,0,0.0433349609375,0.0,0.93939208984375,0.01727294921875,Y,tuple:pure_Y,85,Y -> Y,tuple:pure_Y -> tuple:pure_Y,0.5,0.5,0.5,0.5,0.994384765625,0.357666015625,0,0.5,0.5,0.5,0.5,0.677978515625,0.041259765625,0,1.0,1.0,1.0,1.0,1.0,0.36328125,1,Y,tuple:pure_Y,85,01010101,pure_Y,Y,1,1,pure_Y,0,1.0,1.0,1.0,0,0,0,1.0,1.0
adaptive_exploratory_posthoc_with_fresh_seed_replication,77cd37c1e891123c5b94,11,original,0.95,3,independent,1,5,7,4,5,interval,5,1,0,1,0,0,left,0,1,0,1,0,0,left,0,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,7,probe_selective_before_causal,7,probe_selective_before_behavior,0,unresolved_on_log_grid,1,9,13,7,9,interval,9,1,33,45,24,33,interval,33,1,24,33,17,24,interval,24,1,85,117,62,85,interval,85,1,85,117,62,85,interval,85,1,85,117,62,85,interval,85,61,probe_selective_before_causal,61,probe_selective_before_behavior,0,unresolved_on_log_grid,1,9,13,7,9,interval,9,1,304,418,222,304,interval,304,1,304,418,222,304,interval,304,1,418,575,304,418,interval,418,1,418,575,304,418,interval,418,1,418,575,304,418,interval,418,114,unresolved_on_log_grid,114,unresolved_on_log_grid,0,unresolved_on_log_grid,D -> P -> D -> Q -> D -> Y,P -> Q -> Y,2,3,0,0.00579833984375,0.014404296875,0.9559326171875,0.02386474609375,Y,tuple:pure_Y,85,Y -> Y,tuple:pure_Y -> tuple:pure_Y,0.5,0.5,0.5,0.5,0.99658203125,0.333740234375,0,0.5,0.5,0.5,0.5,0.98974609375,0.326904296875,0,1.0,1.0,1.0,1.0,1.0,0.337158203125,1,Y,tuple:pure_Y,85,01010101,pure_Y,Y,1,1,pure_Y,0,1.0,1.0,1.0,0,0,0,1.0,1.0
adaptive_exploratory_posthoc_with_fresh_seed_replication,6c9f9d0e9bb65db07e22,11,original,0.95,3,nested,1,5,7,4,5,interval,5,1,0,1,0,0,left,0,1,0,1,0,0,left,0,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,7,probe_selective_before_causal,7,probe_selective_before_behavior,0,unresolved_on_log_grid,1,9,13,7,9,interval,9,1,33,45,24,33,interval,33,1,24,33,17,24,interval,24,1,117,161,85,117,interval,117,1,117,161,85,117,interval,117,1,117,161,85,117,interval,117,93,probe_selective_before_causal,93,probe_selective_before_behavior,0,unresolved_on_log_grid,1,9,13,7,9,interval,9,1,222,304,161,222,interval,222,1,222,304,161,222,interval,222,1,418,575,304,418,interval,418,1,418,575,304,418,interval,418,1,418,575,304,418,interval,418,196,probe_selective_before_causal,196,probe_selective_before_behavior,0,unresolved_on_log_grid,D -> P -> D -> Q -> D -> Y,P -> Q -> Y,2,3,0,0.00823974609375,0.01104736328125,0.9559326171875,0.0247802734375,Y,tuple:pure_Y,85,Y -> Y,tuple:pure_Y -> tuple:pure_Y,0.5,0.5,0.5,0.5,0.99365234375,0.32763671875,0,0.5,0.50006103515625,0.5,0.5,1.0,0.333984375,0,1.0,1.0,1.0,1.0,1.0,0.333984375,1,Y,tuple:pure_Y,85,01010101,pure_Y,Y,1,1,pure_Y,0,1.0,1.0,1.0,0,0,0,1.0,1.0
adaptive_exploratory_posthoc_with_fresh_seed_replication,d0e824c8815a7d467f43,11,original,0.95,5,independent,1,5,7,4,5,interval,5,1,0,1,0,0,left,0,1,0,1,0,0,left,0,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,7,probe_selective_before_causal,7,probe_selective_before_behavior,0,unresolved_on_log_grid,1,9,13,7,9,interval,9,1,33,45,24,33,interval,33,1,24,33,17,24,interval,24,1,85,117,62,85,interval,85,1,85,117,62,85,interval,85,1,85,117,62,85,interval,85,61,probe_selective_before_causal,61,probe_selective_before_behavior,0,unresolved_on_log_grid,1,45,62,33,45,interval,45,1,1491,2048,1085,1491,interval,1491,1,1491,2048,1085,1491,interval,1491,1,2435,2896,2048,2435,interval,2435,1,2435,2896,2048,2435,interval,2435,1,2435,2896,2048,2435,interval,2435,944,probe_selective_before_causal,944,probe_selective_before_behavior,0,unresolved_on_log_grid,D -> P -> D -> Q -> D -> Q -> D -> Y,P -> Q -> Y,2,3,0,0.00579833984375,0.08892822265625,0.72637939453125,0.17889404296875,D,raw_codeword_patch,85,D -> Y,raw_codeword_patch -> tuple:pure_Y,0.607421875,0.6065673828125,0.514404296875,0.51513671875,0.9716796875,0.350830078125,0,0.6123046875,0.61297607421875,0.514404296875,0.51483154296875,0.961181640625,0.34033203125,0,0.88671875,0.885205078125,0.985595703125,0.984423828125,0.999755859375,0.37890625,1,Y,tuple:pure_Y,85,01010101,pure_Y,Y,1,1,pure_Y,0,0.985595703125,1.0,0.985595703125,0,0,0,0.9807942708333334,1.0
adaptive_exploratory_posthoc_with_fresh_seed_replication,ac270b5d955de7ebea6d,11,original,0.95,5,nested,1,5,7,4,5,interval,5,1,0,1,0,0,left,0,1,0,1,0,0,left,0,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,7,probe_selective_before_causal,7,probe_selective_before_behavior,0,unresolved_on_log_grid,1,9,13,7,9,interval,9,1,33,45,24,33,interval,33,1,24,33,17,24,interval,24,1,117,161,85,117,interval,117,1,117,161,85,117,interval,117,1,117,161,85,117,interval,117,93,probe_selective_before_causal,93,probe_selective_before_behavior,0,unresolved_on_log_grid,1,45,62,33,45,interval,45,1,1085,1491,790,1085,interval,1085,1,1085,1491,790,1085,interval,1085,0,,,8192,,right,8192,0,,,8192,,right,8192,0,,,8192,,right,8192,,censored,,censored,,censored,D -> P -> D -> Q -> D,P -> Q,1,2,0,0.00823974609375,0.10211181640625,0.0,0.8896484375,D,tuple:nested_support_gate_Y_if_P_equals_Q_else_Q,113,D -> D,tuple:nested_support_gate_Y_if_P_equals_Q_else_Q -> tuple:nested_support_gate_Y_if_P_equals_Q_else_Q,0.261962890625,0.261962890625,0.310546875,0.3096923828125,0.983154296875,0.354248046875,0,0.743408203125,0.74310302734375,0.689453125,0.69073486328125,0.992431640625,0.363525390625,0,0.756591796875,0.756201171875,0.810546875,0.81083984375,1.0,0.37109375,0,D,tuple:nested_support_gate_Y_if_P_equals_Q_else_Q,113,01110001,nested_support_gate_Y_if_P_equals_Q_else_Q,P+Q+Y,3,0,nested_support_gate_Y_if_P_equals_Q_else_Q,0,0.939453125,0.9453125,0.97265625,1,0,0,1.0,0.2421875
adaptive_exploratory_posthoc_with_fresh_seed_replication,3043cd62362262c35dcc,11,original,0.99,3,independent,1,5,7,4,5,interval,5,1,0,1,0,0,left,0,1,0,1,0,0,left,0,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,7,probe_selective_before_causal,7,probe_selective_before_behavior,0,unresolved_on_log_grid,1,9,13,7,9,interval,9,1,33,45,24,33,interval,33,1,24,33,17,24,interval,24,1,62,85,45,62,interval,62,1,62,85,45,62,interval,62,1,62,85,45,62,interval,62,38,probe_selective_before_causal,38,probe_selective_before_behavior,0,unresolved_on_log_grid,1,9,13,7,9,interval,9,1,790,1085,575,790,interval,790,1,790,1085,575,790,interval,790,0,,,8192,,right,8192,0,,,8192,,right,8192,0,,,8192,,right,8192,,censored,,censored,,censored,D -> P -> Q -> D,P -> Q,1,2,0,0.00579833984375,0.0767822265625,0.0,0.91741943359375,D,tuple:majority_PQY,23,D -> D,tuple:majority_PQY -> raw_codeword_patch,0.657470703125,0.659423828125,0.643798828125,0.642333984375,0.994384765625,0.288818359375,0,0.768798828125,0.76422119140625,0.674072265625,0.6732177734375,0.99951171875,0.2939453125,0,0.731201171875,0.7340087890625,0.825927734375,0.824951171875,1.0,0.29443359375,0,D,raw_codeword_patch,23,00010111,majority_PQY,P+Q+Y,3,1,majority_PQY,0,0.893798828125,0.921875,0.936767578125,0,1,0,0.7880859375,0.939453125
adaptive_exploratory_posthoc_with_fresh_seed_replication,6b54b839a64055209f53,11,original,0.99,3,nested,1,5,7,4,5,interval,5,1,0,1,0,0,left,0,1,0,1,0,0,left,0,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,1,7,9,5,7,interval,7,7,probe_selective_before_causal,7,probe_selective_before_behavior,0,unresolved_on_log_grid,1,9,13,7,9,interval,9,1,33,45,24,33,interval,33,1,24,33,17,24,interval,24,1,85,117,62,85,interval,85,1,85,117,62,85,interval,85,1,85,117,62,85,interval,85,61,probe_selective_before_causal,61,probe_selective_before_behavior,0,unresolved_on_log_grid,1,9,13,7,9,interval,9,1,575,790,418,575,interval,575,1,418,575,304,418,interval,418,0,,,8192,,right,8192,0,,,8192,,right,8192,0,,,8192,,right,8192,,censored,,censored,,censored,D -> P -> D -> Q -> D,P -> Q,1,2,0,0.00579833984375,0.0516357421875,0.0,0.94256591796875,D,tuple:nested_support_gate_Y_if_P_equals_Q_else_Q,113,D -> D,tuple:nested_support_gate_Y_if_P_equals_Q_else_Q -> raw_codeword_patch,0.268798828125,0.26904296875,0.3525390625,0.3541259765625,0.99658203125,0.283447265625,0,0.740966796875,0.740478515625,0.6474609375,0.6495361328125,0.999267578125,0.2861328125,0,0.759033203125,0.7596028645833333,0.8525390625,0.85205078125,1.0,0.286865234375,0,D,raw_codeword_patch,113,01110001,nested_support_gate_Y_if_P_equals_Q_else_Q,P+Q+Y,3,0,nested_support_gate_Y_if_P_equals_Q_else_Q,0,0.8974609375,0.90625,0.94140625,0,1,0,1.0,0.41015625
