inference_status,cohort,taxonomy,count,n_runs,fraction,estimate,ci_low,ci_high,n_seeds
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,nuisance_or_state_sensitive,0,120,0.0,0.0,0.0,0.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,raw_codeword_patch,9,120,0.075,0.075,0.03333333333333333,0.125,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,tuple:majority_PQY,0,120,0.0,0.0,0.0,0.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,tuple:nested_support_gate_Y_if_P_equals_Q_else_Q,15,120,0.125,0.12499999999999997,0.1,0.15,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,tuple:pure_Q,20,120,0.16666666666666666,0.16666666666666669,0.16666666666666669,0.16666666666666669,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,tuple:pure_Y,76,120,0.6333333333333333,0.6333333333333333,0.5833333333333334,0.6833333333333333,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,original,tuple:three_candidate_interaction,0,120,0.0,0.0,0.0,0.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,nuisance_or_state_sensitive,1,120,0.008333333333333333,0.008333333333333333,0.0,0.025,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,raw_codeword_patch,6,120,0.05,0.049999999999999996,0.008333333333333333,0.09166666666666666,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,tuple:majority_PQY,2,120,0.016666666666666666,0.016666666666666666,0.0,0.041666666666666664,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,tuple:nested_support_gate_Y_if_P_equals_Q_else_Q,11,120,0.09166666666666666,0.09166666666666667,0.08333333333333334,0.10833333333333332,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,tuple:pure_Q,20,120,0.16666666666666666,0.16666666666666669,0.16666666666666669,0.16666666666666669,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,tuple:pure_Y,79,120,0.6583333333333333,0.6583333333333333,0.6,0.7083333333333334,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,fresh,tuple:three_candidate_interaction,1,120,0.008333333333333333,0.008333333333333333,0.0,0.025,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,nuisance_or_state_sensitive,1,240,0.004166666666666667,0.004166666666666667,0.0,0.0125,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,raw_codeword_patch,15,240,0.0625,0.062499999999999986,0.03333333333333333,0.09583333333333334,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,tuple:majority_PQY,2,240,0.008333333333333333,0.008333333333333333,0.0,0.020833333333333332,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,tuple:nested_support_gate_Y_if_P_equals_Q_else_Q,26,240,0.10833333333333334,0.10833333333333332,0.09166666666666665,0.125,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,tuple:pure_Q,40,240,0.16666666666666666,0.16666666666666663,0.16666666666666663,0.16666666666666663,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,tuple:pure_Y,155,240,0.6458333333333334,0.6458333333333334,0.6083333333333334,0.6833333333333333,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,tuple:three_candidate_interaction,1,240,0.004166666666666667,0.004166666666666667,0.0,0.0125,20
