inference_status,seed,cohort,left_count,right_count,gate_transition,stable_gate_difference,q_only_target_probability_difference,q_only_diagnostic_accuracy_difference,gate_reversals_across_all_counts,probability_reversals_across_all_counts,material_probability_reversals_across_all_counts,first_stable_gate_loss_count
adaptive_exploratory_posthoc_paired_support_intervention,11,original,0,2,1->0,-1,0.3055440496938834,0.33830000000000005,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,11,original,2,4,0->0,0,-0.06331558350339306,-0.08410000000000006,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,11,original,4,6,0->0,0,0.2457825944950447,0.271,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,11,original,6,8,0->0,0,0.07636706265973614,0.0786,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,11,original,8,10,0->0,0,0.083795961874915,0.09189999999999998,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,11,original,10,50,0->0,0,0.09861089111885257,0.06790000000000007,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,11,original,50,100,0->0,0,0.0008561849101041963,0.0004999999999999449,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,11,original,100,250,0->0,0,-0.0019404941679493914,-0.0017000000000000348,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,11,original,250,450,0->0,0,-0.00948169780402175,-0.006399999999999961,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,23,original,0,2,1->0,-1,0.30115219413091143,0.3013,0,5,1,2
adaptive_exploratory_posthoc_paired_support_intervention,23,original,2,4,0->0,0,0.1560802864317853,0.17240000000000005,0,5,1,2
adaptive_exploratory_posthoc_paired_support_intervention,23,original,4,6,0->0,0,-0.14854035195886628,-0.16220000000000007,0,5,1,2
adaptive_exploratory_posthoc_paired_support_intervention,23,original,6,8,0->0,0,0.28026655841723846,0.2827,0,5,1,2
adaptive_exploratory_posthoc_paired_support_intervention,23,original,8,10,0->0,0,-0.045362160010688934,-0.04720000000000002,0,5,1,2
adaptive_exploratory_posthoc_paired_support_intervention,23,original,10,50,0->0,0,0.3284472929435883,0.3294,0,5,1,2
adaptive_exploratory_posthoc_paired_support_intervention,23,original,50,100,0->0,0,-0.0010952450462970997,-0.00029999999999996696,0,5,1,2
