seed,cohort,e16_m450_stable_gate,e15_independent_stable_gate,e16_m450_q_only_diagnostic_accuracy,e15_independent_q_only_diagnostic_accuracy,e16_m450_q_only_target_probability,e15_independent_q_only_target_probability,stable_gate_difference,q_only_diagnostic_accuracy_difference,q_only_target_probability_difference
11,original,0,0,0.9919,0.9999,0.987321019318969,0.9973252969496851,0,-0.008000000000000007,-0.010004277630716096
23,original,0,0,0.981,0.9988,0.9760756739395637,0.9954322104752739,0,-0.017800000000000038,-0.019356536535710123
37,original,0,0,1.0,0.9995,0.999357792218052,0.9993747888644782,0,0.0004999999999999449,-1.6996646426181705e-05
41,original,0,0,0.9741,1.0,0.9711325757538033,0.9988915463577925,0,-0.025900000000000034,-0.02775897060398924
53,original,0,0,1.0,1.0,0.9996950539762561,0.9997405381510766,0,0.0,-4.548417482042044e-05
67,original,0,0,0.9803,1.0,0.9782058228020631,0.9994839045539676,0,-0.01970000000000005,-0.021278081751904487
71,original,0,0,1.0,1.0,0.9998127386893054,0.9989430952559807,0,0.0,0.0008696434333247405
83,original,0,0,1.0,1.0,0.9997533773892621,0.9993862158247147,0,0.0,0.00036716156454741355
97,original,0,0,0.9857,0.982,0.9766946998973557,0.9755375667891089,0,0.0037000000000000366,0.0011571331082468328
101,original,0,0,0.9819,0.9463,0.9827686162607904,0.9422811800819997,0,0.035599999999999965,0.04048743617879069
103,fresh,0,0,0.9965,0.9299,0.9921519078166968,0.9127887288579724,0,0.0666000000000001,0.07936317895872447
107,fresh,0,0,0.9212,0.9093,0.9012752175035954,0.8970502474319815,0,0.011900000000000022,0.0042249700716139316
109,fresh,0,0,0.9996,0.9999,0.9986560757790589,0.9995149424297946,0,-0.00029999999999996696,-0.0008588666507356457
113,fresh,0,0,0.9981,0.9935,0.9954748179571695,0.9917494937519495,0,0.0045999999999999375,0.003725324205219982
127,fresh,0,0,0.9003,0.6311,0.8823236112366253,0.6409268956598528,0,0.2692,0.24139671557677245
131,fresh,0,0,1.0,1.0,0.999038572991611,0.9993573995620344,0,0.0,-0.0003188265704233695
137,fresh,0,0,0.9889,0.9993,0.9863952333086506,0.9983798606617182,0,-0.010399999999999965,-0.0119846273530676
139,fresh,0,0,1.0,1.0,0.9994150585369446,0.9998399193611249,0,0.0,-0.000424860824180362
149,fresh,0,0,0.9947,0.8923,0.9919254745599421,0.8869093580119551,0,0.10240000000000005,0.10501611654798693
151,fresh,0,0,0.9995,0.9962,0.9968195482035321,0.9945739232928374,0,0.0033000000000000806,0.002245624910694688
