inference_status,run_id,seed,cohort,q_only_error_count,p_error_count,q_error_count,both_error_count,p_only_error_count,neither_error_count,q_goal_hamming_from_m0,q_goal_hamming_from_previous_count,seen_active_codewords,possible_active_codewords,active_codeword_coverage,factorial_seen_rows,factorial_unseen_rows,final_q_only_presentations,first_q_only_presentation_step,all_unique_q_only_seen_step,train_array_digest,common_iid_array_digest,diagnostic_array_digest
adaptive_exploratory_posthoc_paired_support_intervention,ce8cf77ef32fcd5d651f,11,original,0,1000,500,500,500,9000,0,0,0,64,0.0,0,1024,0,,0,c8a1ff92113d6ccce2d0573d97be416361ef9a678a12ec6331714518197ed9b6,dab890f9a15f545a581179ff9727615931618fc8b7ef141c6c8ed347b043d256,ffbeb44d50268d37ae65cee1e74a8de45e057abefcd98b5b164cc90d3d887d4a
adaptive_exploratory_posthoc_paired_support_intervention,732734ae155cba4a0f6a,11,original,2,1000,500,498,502,8998,4,4,2,64,0.03125,32,992,409,5,36,66cfbad956b144074da3caeed80ffa501a3b3a44187a148bb662ec06db60c9f2,dab890f9a15f545a581179ff9727615931618fc8b7ef141c6c8ed347b043d256,ffbeb44d50268d37ae65cee1e74a8de45e057abefcd98b5b164cc90d3d887d4a
adaptive_exploratory_posthoc_paired_support_intervention,3596be9ea2378859b4b4,11,original,4,1000,500,496,504,8996,8,4,4,64,0.0625,64,960,819,3,36,32862e746935c89ee8f47c29667c5fc82648095a65cad2664fb1cee2cc5152bd,dab890f9a15f545a581179ff9727615931618fc8b7ef141c6c8ed347b043d256,ffbeb44d50268d37ae65cee1e74a8de45e057abefcd98b5b164cc90d3d887d4a
adaptive_exploratory_posthoc_paired_support_intervention,b3dd65d3a6fde95acbed,11,original,6,1000,500,494,506,8994,12,4,6,64,0.09375,96,928,1229,3,36,ff681a34ac388ceca9eeb3254156f935427a8706e6732b944364cd148645267f,dab890f9a15f545a581179ff9727615931618fc8b7ef141c6c8ed347b043d256,ffbeb44d50268d37ae65cee1e74a8de45e057abefcd98b5b164cc90d3d887d4a
adaptive_exploratory_posthoc_paired_support_intervention,07d780fc7a2e90652f57,11,original,8,1000,500,492,508,8992,16,4,8,64,0.125,128,896,1639,3,40,936d49e43d64796ef5bec984c247d678e26ccdd895df02a0234775057d87186e,dab890f9a15f545a581179ff9727615931618fc8b7ef141c6c8ed347b043d256,ffbeb44d50268d37ae65cee1e74a8de45e057abefcd98b5b164cc90d3d887d4a
adaptive_exploratory_posthoc_paired_support_intervention,bae148dba5cd5043dedd,11,original,10,1000,500,490,510,8990,20,4,10,64,0.15625,160,864,2049,3,40,3061ac407555ab858e7f070f66bb3019579c1e4fd2c1bac97367658ed915d631,dab890f9a15f545a581179ff9727615931618fc8b7ef141c6c8ed347b043d256,ffbeb44d50268d37ae65cee1e74a8de45e057abefcd98b5b164cc90d3d887d4a
adaptive_exploratory_posthoc_paired_support_intervention,abf25681936424e442a7,11,original,50,1000,500,450,550,8950,100,80,29,64,0.453125,464,560,10241,1,40,f7267a1814c6c2f19acb036f7083e0e3692965b511514bd782e91ca2eb202518,dab890f9a15f545a581179ff9727615931618fc8b7ef141c6c8ed347b043d256,ffbeb44d50268d37ae65cee1e74a8de45e057abefcd98b5b164cc90d3d887d4a
adaptive_exploratory_posthoc_paired_support_intervention,5423b749262bc16d80c4,11,original,100,1000,500,400,600,8900,200,100,47,64,0.734375,752,272,20480,1,40,247c311c1c4032af89d42fec23b523a48eb445f8abf00599f6d8a5f8c52514e4,dab890f9a15f545a581179ff9727615931618fc8b7ef141c6c8ed347b043d256,ffbeb44d50268d37ae65cee1e74a8de45e057abefcd98b5b164cc90d3d887d4a
adaptive_exploratory_posthoc_paired_support_intervention,be1f47c3264508e6de35,11,original,250,1000,500,250,750,8750,500,300,62,64,0.96875,992,32,51190,1,40,2ea58dfb03c84f0ecf6a449a3da2b3cebb67ac62a796e9c7eb96b60a181be5e2,dab890f9a15f545a581179ff9727615931618fc8b7ef141c6c8ed347b043d256,ffbeb44d50268d37ae65cee1e74a8de45e057abefcd98b5b164cc90d3d887d4a
adaptive_exploratory_posthoc_paired_support_intervention,c0425a23aa5ae994c0f1,11,original,450,1000,500,50,950,8550,900,400,64,64,1.0,1024,0,92158,1,40,66adcfda998ac6459ecd6d1695e2ca25a6f9c185e8ce1980d2a03e994bc17c4a,dab890f9a15f545a581179ff9727615931618fc8b7ef141c6c8ed347b043d256,ffbeb44d50268d37ae65cee1e74a8de45e057abefcd98b5b164cc90d3d887d4a
