inference_status,run_id,seed,cohort,q_only_error_count,step,examples_seen,cumulative_q_only_presentations,unique_q_only_rows_seen,seen_active_codewords,active_codeword_coverage,signature,tuple_consistency,codeword_consistency,nuisance_consistency,stable_gate,taxonomy,q_only_diagnostic_accuracy,common_iid_target_accuracy,q_only_factorial_accuracy,q_only_target_probability,q_only_seen_accuracy,q_only_seen_target_probability,q_only_unseen_accuracy,q_only_unseen_target_probability,seen_minus_unseen_probability,behavior_P,behavior_Q,behavior_Y,causal_P,causal_Q,causal_Y,probe_P,probe_Q,probe_Y,tuple_-+-_positive_rate,tuple_-+-_target_probability,tuple_+-+_positive_rate,tuple_+-+_target_probability,first_q_only_presentation_step,all_unique_q_only_seen_step,design_panel,pure_Y,pure_Q,pure_P
adaptive_exploratory_posthoc_paired_support_intervention,ce8cf77ef32fcd5d651f,11,original,0,8192,2048000,0,0,0,0.0,113,0.939453125,0.9453125,0.97265625,1,stable gate 113,0.2359,1.0,0.2421875,0.2511020500417972,,,0.2421875,0.2511020500417972,,0.310546875,0.689453125,0.810546875,0.3096923828125,0.69073486328125,0.81083984375,0.983154296875,0.992431640625,1.0,0.728515625,0.2821323046422375,0.212890625,0.22007179544135702,,0,primary_registered,0,0,0
adaptive_exploratory_posthoc_paired_support_intervention,732734ae155cba4a0f6a,11,original,2,8192,2048000,409,2,2,0.03125,81,0.912841796875,0.91015625,0.961181640625,0,other semantic rule,0.5742,1.0,0.5634765625,0.5566460997356806,1.0,0.9682901447345227,0.5493951612903226,0.5433672595744277,0.424922885160095,0.390869140625,0.609130859375,0.890869140625,0.3900146484375,0.60882568359375,0.8916259765625,0.973388671875,0.995361328125,1.0,0.28515625,0.6886003132655462,0.412109375,0.4246918862058151,5,36,primary_registered,0,0,0
adaptive_exploratory_posthoc_paired_support_intervention,3596be9ea2378859b4b4,11,original,4,8192,2048000,819,4,4,0.0625,113,0.87890625,0.890625,0.9716796875,0,"modal 113, unstable",0.4901,1.0,0.484375,0.4933305162322875,0.8125,0.8205007964882595,0.4625,0.47151916421522266,0.3489816322730368,0.37109375,0.62890625,0.87109375,0.3719482421875,0.62823486328125,0.8730712890625,0.966796875,0.98583984375,0.99853515625,0.52734375,0.4861665059207554,0.49609375,0.5004945265438197,3,36,triggered_refinement,0,0,0
adaptive_exploratory_posthoc_paired_support_intervention,b3dd65d3a6fde95acbed,11,original,6,8192,2048000,1229,6,6,0.09375,85,0.942626953125,0.95703125,0.977783203125,0,pure Y,0.7611,1.0,0.7705078125,0.7391131107273322,0.9270833333333334,0.9266985102035438,0.7543103448275862,0.7197077245746208,0.20699078562892292,0.442626953125,0.557373046875,0.942626953125,0.4404296875,0.55859375,0.9425048828125,0.966796875,0.989501953125,1.0,0.177734375,0.778867036144491,0.71875,0.6993591853101736,3,36,triggered_refinement,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,07d780fc7a2e90652f57,11,original,8,8192,2048000,1639,8,8,0.125,85,0.958740234375,0.96484375,0.979736328125,0,pure Y,0.8397,1.0,0.8349609375,0.8154801733870684,0.9765625,0.9602461750238389,0.8147321428571429,0.794799316010387,0.1654468590134519,0.458740234375,0.541259765625,0.958740234375,0.4598388671875,0.54071044921875,0.9596923828125,0.9912109375,0.96875,1.0,0.125,0.8538872127944149,0.794921875,0.7770731339797219,3,40,triggered_refinement,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,bae148dba5cd5043dedd,11,original,10,8192,2048000,2049,10,10,0.15625,85,0.981689453125,0.9921875,0.988037109375,0,pure Y,0.9316,1.0,0.9267578125,0.8992761352619834,0.9625,0.9501376960462646,0.9201388888888888,0.8898573277093386,0.06028036833692607,0.481689453125,0.518310546875,0.981689453125,0.48046875,0.51861572265625,0.981884765625,0.9482421875,0.9873046875,1.0,0.091796875,0.8945230520838503,0.9453125,0.9040292184401164,3,40,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,abf25681936424e442a7,11,original,50,8192,2048000,10241,50,29,0.453125,85,1.0,1.0,1.0,0,pure Y,0.9995,1.0,1.0,0.9978870263808359,1.0,0.9988851974848325,1.0,0.9970599703232389,0.0018252271615936122,0.5,0.5,1.0,0.4998779296875,0.50006103515625,0.999951171875,0.88720703125,0.93701171875,1.0,0.0,0.9988767501688367,1.0,0.9968973025928353,1,40,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,5423b749262bc16d80c4,11,original,100,8192,2048000,20480,100,47,0.734375,85,1.0,1.0,1.0,0,pure Y,1.0,1.0,1.0,0.9987432112909401,1.0,0.999528720765272,1.0,0.9965715086266108,0.0029572121386611805,0.5,0.5,1.0,0.5,0.50006103515625,0.999951171875,0.9580078125,0.939453125,1.0,0.0,0.9994762845434793,1.0,0.9980101380384009,1,40,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,be1f47c3264508e6de35,11,original,250,8192,2048000,51190,250,62,0.96875,85,0.99755859375,1.0,0.99755859375,0,pure Y,0.9983,0.9995,0.998046875,0.9968027171229907,0.9979838709677419,0.9967019934738766,1.0,0.9999251502455306,-0.0032231567716540788,0.50146484375,0.50244140625,0.99755859375,0.501708984375,0.503173828125,0.9969482421875,0.925537109375,0.926513671875,1.0,0.0,0.9995386589159518,0.99609375,0.9940667753300296,1,40,primary_registered,1,0,0
adaptive_exploratory_posthoc_paired_support_intervention,c0425a23aa5ae994c0f1,11,original,450,8192,2048000,92158,450,64,1.0,85,0.924560546875,0.93359375,0.951416015625,0,pure Y,0.9919,0.98575,0.994140625,0.987321019318969,0.994140625,0.987321019318969,,,,0.572509765625,0.575439453125,0.924560546875,0.5694580078125,0.5736083984375,0.92470703125,0.97802734375,0.92529296875,0.999755859375,0.001953125,0.9906076909295739,0.990234375,0.9840343477083642,1,40,primary_registered,1,0,0
