contrast,left,right,outcome,estimate,ci_low,ci_high,n_seeds,bootstrap_draws
independent_reset_minus_nested_reset,independent_reset,nested_reset,Q_control_auc_0_128,0.059575212001800534,0.04946492195129394,0.0720513153076172,20,4000
independent_reset_minus_nested_reset,independent_reset,nested_reset,Q_restricted_handoff_time_0_1024,-73.35,-171.55,-22.85,20,4000
independent_reset_minus_nested_reset,independent_reset,nested_reset,Y_restricted_handoff_time_0_1024,64.95,44.75,84.25500000000002,20,4000
independent_reset_minus_nested_reset,independent_reset,nested_reset,final_target_accuracy,0.0,0.0,0.0,20,4000
independent_reset_minus_scratch,independent_reset,scratch,Q_control_auc_0_128,0.05504254102706909,0.04070692539215088,0.06959430813789368,20,4000
independent_reset_minus_scratch,independent_reset,scratch,Q_restricted_handoff_time_0_1024,-16.35,-18.8,-14.1,20,4000
independent_reset_minus_scratch,independent_reset,scratch,Y_restricted_handoff_time_0_1024,105.85,78.54875,134.25375000000003,20,4000
independent_reset_minus_scratch,independent_reset,scratch,final_target_accuracy,0.0,0.0,0.0,20,4000
independent_reset_minus_sham,independent_reset,sham,Q_control_auc_0_128,0.06595655083656311,0.048259290456771846,0.08431806668639186,20,4000
independent_reset_minus_sham,independent_reset,sham,Q_restricted_handoff_time_0_1024,-16.95,-20.35,-14.0,20,4000
independent_reset_minus_sham,independent_reset,sham,Y_restricted_handoff_time_0_1024,112.2,79.24875,143.45,20,4000
independent_reset_minus_sham,independent_reset,sham,final_target_accuracy,0.0,0.0,0.0,20,4000
independent_carry_minus_independent_reset,independent_carry,independent_reset,Q_control_auc_0_128,-0.001764535903930664,-0.0072762261331081384,0.0029037049412727364,20,4000
independent_carry_minus_independent_reset,independent_carry,independent_reset,Q_restricted_handoff_time_0_1024,-5.25,-6.95,-3.45,20,4000
independent_carry_minus_independent_reset,independent_carry,independent_reset,Y_restricted_handoff_time_0_1024,-21.6,-39.75,-6.1,20,4000
independent_carry_minus_independent_reset,independent_carry,independent_reset,final_target_accuracy,0.0,0.0,0.0,20,4000
nested_carry_minus_nested_reset,nested_carry,nested_reset,Q_control_auc_0_128,-0.009997689723968506,-0.017153263688087464,-0.003623092621564864,20,4000
nested_carry_minus_nested_reset,nested_carry,nested_reset,Q_restricted_handoff_time_0_1024,-1.2,-4.7,2.3,20,4000
nested_carry_minus_nested_reset,nested_carry,nested_reset,Y_restricted_handoff_time_0_1024,-7.2,-23.55125,9.95,20,4000
nested_carry_minus_nested_reset,nested_carry,nested_reset,final_target_accuracy,0.0,0.0,0.0,20,4000
