seed,paired_intersection_eligible,independent_eligible,nested_eligible,independent_33_P_behavior,independent_33_P_causal,independent_33_Q_selective,independent_45_P_behavior,independent_45_P_causal,independent_45_Q_selective,nested_33_P_behavior,nested_33_P_causal,nested_33_Q_selective,nested_45_P_behavior,nested_45_P_causal,nested_45_Q_selective
409,True,True,True,1.0,1.0,0.315185546875,0.996826171875,0.9967041015625,0.384765625,1.0,1.0,0.223876953125,1.0,1.0,0.196533203125
419,True,True,True,1.0,1.0,0.2451171875,0.999755859375,0.9998779296875,0.346923828125,1.0,1.0,0.180908203125,1.0,1.0,0.146728515625
421,True,True,True,0.999755859375,0.999755859375,0.23779296875,0.99609375,0.99609375,0.3662109375,1.0,0.9998779296875,0.16748046875,0.999755859375,0.9998779296875,0.157958984375
431,True,True,True,1.0,1.0,0.2734375,0.996826171875,0.996826171875,0.343994140625,1.0,1.0,0.193359375,1.0,1.0,0.1630859375
433,True,True,True,1.0,1.0,0.254150390625,0.99462890625,0.994873046875,0.365966796875,1.0,1.0,0.168701171875,1.0,1.0,0.170166015625
439,True,True,True,1.0,1.0,0.24365234375,0.994140625,0.993896484375,0.350830078125,1.0,1.0,0.157958984375,1.0,1.0,0.1640625
443,True,True,True,1.0,1.0,0.203369140625,0.99951171875,0.99853515625,0.307861328125,1.0,1.0,0.160888671875,1.0,0.999755859375,0.149658203125
449,True,True,True,1.0,1.0,0.27783203125,1.0,1.0,0.383056640625,1.0,1.0,0.14599609375,1.0,1.0,0.14501953125
457,True,True,True,1.0,1.0,0.261962890625,0.99951171875,0.999755859375,0.337646484375,1.0,1.0,0.22412109375,1.0,1.0,0.214111328125
461,True,True,True,1.0,1.0,0.222412109375,0.99853515625,0.99853515625,0.352294921875,1.0,1.0,0.18896484375,0.999267578125,0.9990234375,0.18896484375
463,True,True,True,1.0,1.0,0.228515625,0.997802734375,0.9974365234375,0.328857421875,1.0,1.0,0.16943359375,1.0,0.9998779296875,0.157958984375
467,True,True,True,1.0,1.0,0.1865234375,1.0,1.0,0.312255859375,1.0,1.0,0.104248046875,1.0,1.0,0.0947265625
479,True,True,True,1.0,1.0,0.317138671875,0.99853515625,0.99853515625,0.367919921875,1.0,0.9998779296875,0.22216796875,1.0,1.0,0.248291015625
487,True,True,True,1.0,1.0,0.27685546875,1.0,1.0,0.379150390625,1.0,1.0,0.232421875,1.0,1.0,0.23193359375
491,True,True,True,1.0,1.0,0.2509765625,1.0,1.0,0.3466796875,1.0,1.0,0.185546875,1.0,1.0,0.185791015625
499,True,True,True,1.0,1.0,0.26611328125,0.995361328125,0.9957275390625,0.359619140625,1.0,1.0,0.206787109375,1.0,1.0,0.176513671875
503,True,True,True,1.0,1.0,0.298583984375,0.994384765625,0.9937744140625,0.3837890625,0.999755859375,0.9998779296875,0.21435546875,0.998779296875,0.9990234375,0.230224609375
509,True,True,True,1.0,1.0,0.24462890625,0.993896484375,0.99267578125,0.361572265625,1.0,1.0,0.142578125,1.0,1.0,0.090576171875
521,True,True,True,1.0,1.0,0.278564453125,0.998291015625,0.9981689453125,0.348388671875,1.0,1.0,0.22705078125,0.999267578125,0.9991455078125,0.201171875
523,True,True,True,1.0,1.0,0.159912109375,0.999755859375,0.9996337890625,0.258056640625,1.0,1.0,0.1025390625,1.0,1.0,0.09912109375
