endpoint,estimate,ci_low,ci_high,confidence,n_seeds,bootstrap_draws,bootstrap_key,positive_count,negative_count,zero_count,at_least_0_05_count,values,decision,interval_role
primary_hamming_dispersion_auc_33_128,0.39834621710526325,0.39588322368421064,0.39980263157894746,0.95,20,4000,e20:v1:bootstrap:primary:hamming-dispersion-auc33-128,20,0,0,20,"[0.3959868421052631,0.39820723684210524,0.4000000000000001,0.4000000000000001,0.39911184210526324,0.4000000000000001,0.4000000000000001,0.37728618421052623,0.3998190789473685,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.3968749999999999,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.39963815789473695,0.4000000000000001,0.4000000000000001]",material_persistent_order_dependence,
signed_recency_auc_33_128,0.9944873903508771,0.9862026452850878,0.999358552631579,0.95,20,4000,e20:v1:bootstrap:hierarchical:signed-recency-auc33-128,20,0,0,20,"[0.9866228070175439,0.9940241228070176,1.0,1.0,0.9970394736842106,1.0,1.0,0.9242872807017545,0.9993969298245614,1.0,1.0,1.0,0.9895833333333334,1.0,1.0,1.0,1.0,0.9987938596491228,1.0,1.0]",material_recency,
P_last_minus_first_margin_auc_33_128,0.9922697368421052,0.9795723684210527,0.9995559210526317,0.95,20,4000,e20:v1:bootstrap:hierarchical:P-position-auc33-128,20,0,0,20,"[0.9799342105263158,1.0,1.0,1.0,0.9955592105263158,1.0,1.0,0.8864309210526315,0.9990953947368421,1.0,1.0,1.0,0.984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",,ordinary_95_percent
P_last_minus_first_margin_auc_33_128,0.9922697368421052,0.9750270353618422,0.9999095394736841,0.9833333333333333,20,4000,e20:v1:bootstrap:hierarchical:P-position-auc33-128,20,0,0,20,"[0.9799342105263158,1.0,1.0,1.0,0.9955592105263158,1.0,1.0,0.8864309210526315,0.9990953947368421,1.0,1.0,1.0,0.984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",material_recency,formal_bonferroni_98_33_percent
Q_last_minus_first_margin_auc_33_128,0.9992393092105264,0.9981620065789473,1.0,0.95,20,4000,e20:v1:bootstrap:hierarchical:Q-position-auc33-128,20,0,0,20,"[1.0,0.9910361842105263,1.0,1.0,0.9955592105263158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981907894736842,1.0,1.0]",,ordinary_95_percent
Q_last_minus_first_margin_auc_33_128,0.9992393092105264,0.997985197368421,1.0,0.9833333333333333,20,4000,e20:v1:bootstrap:hierarchical:Q-position-auc33-128,20,0,0,20,"[1.0,0.9910361842105263,1.0,1.0,0.9955592105263158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981907894736842,1.0,1.0]",material_recency,formal_bonferroni_98_33_percent
Y_last_minus_first_margin_auc_33_128,0.991953125,0.9792140213815789,0.9992804276315788,0.95,20,4000,e20:v1:bootstrap:hierarchical:Y-position-auc33-128,20,0,0,20,"[0.9799342105263158,0.9910361842105263,1.0,1.0,1.0,1.0,1.0,0.8864309210526315,0.9990953947368421,1.0,1.0,1.0,0.984375,1.0,1.0,1.0,1.0,0.9981907894736842,1.0,1.0]",,ordinary_95_percent
Y_last_minus_first_margin_auc_33_128,0.991953125,0.9747243009868422,0.9998190789473684,0.9833333333333333,20,4000,e20:v1:bootstrap:hierarchical:Y-position-auc33-128,20,0,0,20,"[0.9799342105263158,0.9910361842105263,1.0,1.0,1.0,1.0,1.0,0.8864309210526315,0.9990953947368421,1.0,1.0,1.0,0.984375,1.0,1.0,1.0,1.0,0.9981907894736842,1.0,1.0]",material_recency,formal_bonferroni_98_33_percent
early_hamming_dispersion_auc_0_33,0.3994554924242425,0.3984682765151516,0.4000000000000001,0.95,20,4000,e20:v1:bootstrap:secondary:dispersion-auc0-33,20,0,0,20,"[0.3988162878787879,0.4,0.4,0.4,0.4,0.4,0.4,0.390719696969697,0.4,0.4,0.4,0.4,0.39957386363636366,0.4,0.4,0.4,0.4,0.4,0.4,0.4]",,
terminal_hamming_dispersion_256,0.3957812500000001,0.39140625000000007,0.39875000000000005,0.95,20,4000,e20:v1:bootstrap:secondary:dispersion-at256,20,0,0,20,"[0.390625,0.396875,0.4,0.4,0.39375,0.4,0.4,0.3625,0.390625,0.4,0.4,0.4,0.396875,0.4,0.4,0.396875,0.4,0.3875,0.4,0.4]",,
P_middle_curvature_auc_33_128,-0.5033264802631578,-0.5100229235197369,-0.49934611430921055,0.95,20,4000,e20:v1:bootstrap:secondary:P-middle-curvature-auc33-128,0,20,0,0,"[-0.5100328947368421,-0.4910361842105263,-0.5,-0.5,-0.5022203947368421,-0.5,-0.5,-0.5567845394736842,-0.5004523026315789,-0.5,-0.5,-0.5,-0.5078125,-0.5,-0.5,-0.5,-0.5,-0.4981907894736842,-0.5,-0.5]",,
Q_middle_curvature_auc_33_128,-0.49265008223684204,-0.5000678453947368,-0.4801330694901317,0.95,20,4000,e20:v1:bootstrap:secondary:Q-middle-curvature-auc33-128,0,20,0,0,"[-0.4799342105263158,-0.5044819078947368,-0.5,-0.5,-0.4977796052631579,-0.5,-0.5,-0.3864309210526316,-0.4990953947368421,-0.5,-0.5,-0.5,-0.484375,-0.5,-0.5,-0.5,-0.5,-0.5009046052631579,-0.5,-0.5]",,
Y_middle_curvature_auc_33_128,-0.49575452302631584,-0.4994410464638158,-0.48953094161184213,0.95,20,4000,e20:v1:bootstrap:secondary:Y-middle-curvature-auc33-128,0,20,0,0,"[-0.4899671052631579,-0.49551809210526315,-0.5,-0.5,-0.4955592105263158,-0.5,-0.5,-0.4432154605263158,-0.49954769736842103,-0.5,-0.5,-0.5,-0.4921875,-0.5,-0.5,-0.5,-0.5,-0.4990953947368421,-0.5,-0.5]",,
P_middle_minus_first_auc_33_128,-0.007191611842105263,-0.019421258223684207,0.0003869243421052647,0.95,20,4000,e20:v1:bootstrap:secondary:P-middle-minus-first-auc33-128,2,5,13,0,"[-0.02006578947368421,0.008963815789473684,0.0,0.0,-0.0044407894736842105,0.0,0.0,-0.11356907894736842,-0.0009046052631578947,0.0,0.0,0.0,-0.015625,0.0,0.0,0.0,0.0,0.0018092105263157895,0.0,0.0]",,
