seed,schedule,phase,signature_unchanged_161_222_256,absolute_changes_222_256,all_six_changes_at_most_0_02,late_stable
577,p_q_y,component_1_P,True,"{""behavior_P"":0.0,""behavior_Q"":0.0,""behavior_Y"":0.0,""causal_P"":0.0,""causal_Q"":0.0,""causal_Y"":0.0}",True,True
577,p_q_y,component_2_Q,True,"{""behavior_P"":0.0,""behavior_Q"":0.0,""behavior_Y"":0.0,""causal_P"":0.0,""causal_Q"":0.0,""causal_Y"":0.0}",True,True
577,p_q_y,component_3_Y,True,"{""behavior_P"":0.0,""behavior_Q"":0.0,""behavior_Y"":0.0,""causal_P"":0.0,""causal_Q"":0.0,""causal_Y"":0.0}",True,True
577,p_q_y,washout,False,"{""behavior_P"":0.015625,""behavior_Q"":0.015625,""behavior_Y"":0.015625,""causal_P"":0.015625,""causal_Q"":0.015625,""causal_Y"":0.015625}",True,False
577,p_y_q,component_1_P,True,"{""behavior_P"":0.0,""behavior_Q"":0.0,""behavior_Y"":0.0,""causal_P"":0.0,""causal_Q"":0.0,""causal_Y"":0.0}",True,True
577,p_y_q,component_2_Y,True,"{""behavior_P"":0.0,""behavior_Q"":0.0,""behavior_Y"":0.0,""causal_P"":0.0,""causal_Q"":0.0,""causal_Y"":0.0}",True,True
577,p_y_q,component_3_Q,True,"{""behavior_P"":0.0,""behavior_Q"":0.0,""behavior_Y"":0.0,""causal_P"":0.0,""causal_Q"":0.0,""causal_Y"":0.0}",True,True
577,p_y_q,washout,True,"{""behavior_P"":0.0,""behavior_Q"":0.0,""behavior_Y"":0.0,""causal_P"":0.0,""causal_Q"":0.0,""causal_Y"":0.0}",True,True
577,q_p_y,component_1_Q,True,"{""behavior_P"":0.0,""behavior_Q"":0.0,""behavior_Y"":0.0,""causal_P"":0.0,""causal_Q"":0.0,""causal_Y"":0.0}",True,True
577,q_p_y,component_2_P,True,"{""behavior_P"":0.0,""behavior_Q"":0.0,""behavior_Y"":0.0,""causal_P"":0.0,""causal_Q"":0.0,""causal_Y"":0.0}",True,True
577,q_p_y,component_3_Y,True,"{""behavior_P"":0.0,""behavior_Q"":0.0,""behavior_Y"":0.0,""causal_P"":0.0,""causal_Q"":0.0,""causal_Y"":0.0}",True,True
577,q_p_y,washout,True,"{""behavior_P"":0.0,""behavior_Q"":0.0,""behavior_Y"":0.0,""causal_P"":0.0,""causal_Q"":0.0,""causal_Y"":0.0}",True,True
577,q_y_p,component_1_Q,True,"{""behavior_P"":0.0,""behavior_Q"":0.0,""behavior_Y"":0.0,""causal_P"":0.0,""causal_Q"":0.0,""causal_Y"":0.0}",True,True
577,q_y_p,component_2_Y,True,"{""behavior_P"":0.0,""behavior_Q"":0.0,""behavior_Y"":0.0,""causal_P"":0.0,""causal_Q"":0.0,""causal_Y"":0.0}",True,True
577,q_y_p,component_3_P,True,"{""behavior_P"":0.0,""behavior_Q"":0.0,""behavior_Y"":0.0,""causal_P"":0.0,""causal_Q"":0.0,""causal_Y"":0.0}",True,True
577,q_y_p,washout,True,"{""behavior_P"":0.0,""behavior_Q"":0.0,""behavior_Y"":0.0,""causal_P"":0.0,""causal_Q"":0.0,""causal_Y"":0.0}",True,True
