seed,primary_hamming_dispersion_auc_33_128,signed_recency_auc_33_128,per_goal_recency_auc_33_128,early_hamming_dispersion_auc_0_33,terminal_hamming_dispersion_256,curvature_auc_33_128,middle_minus_first_auc_33_128,last_minus_middle_auc_33_128,behavior_last_minus_first_auc_33_128,causal_last_minus_first_auc_33_128
577,0.3959868421052631,0.9866228070175439,"{""P"":0.9799342105263158,""Q"":1.0,""Y"":0.9799342105263158}",0.3988162878787879,0.390625,"{""P"":-0.5100328947368421,""Q"":-0.4799342105263158,""Y"":-0.4899671052631579}","{""P"":-0.02006578947368421,""Q"":0.02006578947368421,""Y"":0.0}","{""P"":1.0,""Q"":0.9799342105263158,""Y"":0.9799342105263158}","{""P"":0.4899671052631579,""Q"":0.5,""Y"":0.4899671052631579}","{""P"":0.4899671052631579,""Q"":0.5,""Y"":0.4899671052631579}"
587,0.39820723684210524,0.9940241228070176,"{""P"":1.0,""Q"":0.9910361842105263,""Y"":0.9910361842105263}",0.4,0.396875,"{""P"":-0.4910361842105263,""Q"":-0.5044819078947368,""Y"":-0.49551809210526315}","{""P"":0.008963815789473684,""Q"":-0.008963815789473684,""Y"":0.0}","{""P"":0.9910361842105263,""Q"":1.0,""Y"":0.9910361842105263}","{""P"":0.5,""Q"":0.49551809210526315,""Y"":0.49551809210526315}","{""P"":0.5,""Q"":0.49551809210526315,""Y"":0.49551809210526315}"
593,0.4000000000000001,1.0,"{""P"":1.0,""Q"":1.0,""Y"":1.0}",0.4,0.4,"{""P"":-0.5,""Q"":-0.5,""Y"":-0.5}","{""P"":0.0,""Q"":0.0,""Y"":0.0}","{""P"":1.0,""Q"":1.0,""Y"":1.0}","{""P"":0.5,""Q"":0.5,""Y"":0.5}","{""P"":0.5,""Q"":0.5,""Y"":0.5}"
599,0.4000000000000001,1.0,"{""P"":1.0,""Q"":1.0,""Y"":1.0}",0.4,0.4,"{""P"":-0.5,""Q"":-0.5,""Y"":-0.5}","{""P"":0.0,""Q"":0.0,""Y"":0.0}","{""P"":1.0,""Q"":1.0,""Y"":1.0}","{""P"":0.5,""Q"":0.5,""Y"":0.5}","{""P"":0.5,""Q"":0.5,""Y"":0.5}"
601,0.39911184210526324,0.9970394736842106,"{""P"":0.9955592105263158,""Q"":0.9955592105263158,""Y"":1.0}",0.4,0.39375,"{""P"":-0.5022203947368421,""Q"":-0.4977796052631579,""Y"":-0.4955592105263158}","{""P"":-0.0044407894736842105,""Q"":0.0,""Y"":0.0044407894736842105}","{""P"":1.0,""Q"":0.9955592105263158,""Y"":0.9955592105263158}","{""P"":0.4977796052631579,""Q"":0.4977796052631579,""Y"":0.5}","{""P"":0.4977796052631579,""Q"":0.4977796052631579,""Y"":0.5}"
607,0.4000000000000001,1.0,"{""P"":1.0,""Q"":1.0,""Y"":1.0}",0.4,0.4,"{""P"":-0.5,""Q"":-0.5,""Y"":-0.5}","{""P"":0.0,""Q"":0.0,""Y"":0.0}","{""P"":1.0,""Q"":1.0,""Y"":1.0}","{""P"":0.5,""Q"":0.5,""Y"":0.5}","{""P"":0.5,""Q"":0.5,""Y"":0.5}"
613,0.4000000000000001,1.0,"{""P"":1.0,""Q"":1.0,""Y"":1.0}",0.4,0.4,"{""P"":-0.5,""Q"":-0.5,""Y"":-0.5}","{""P"":0.0,""Q"":0.0,""Y"":0.0}","{""P"":1.0,""Q"":1.0,""Y"":1.0}","{""P"":0.5,""Q"":0.5,""Y"":0.5}","{""P"":0.5,""Q"":0.5,""Y"":0.5}"
617,0.37728618421052623,0.9242872807017545,"{""P"":0.8864309210526315,""Q"":1.0,""Y"":0.8864309210526315}",0.390719696969697,0.3625,"{""P"":-0.5567845394736842,""Q"":-0.3864309210526316,""Y"":-0.4432154605263158}","{""P"":-0.11356907894736842,""Q"":0.11356907894736842,""Y"":0.0}","{""P"":1.0,""Q"":0.8864309210526315,""Y"":0.8864309210526315}","{""P"":0.4432154605263158,""Q"":0.5,""Y"":0.4432154605263158}","{""P"":0.4432154605263158,""Q"":0.5,""Y"":0.4432154605263158}"
619,0.3998190789473685,0.9993969298245614,"{""P"":0.9990953947368421,""Q"":1.0,""Y"":0.9990953947368421}",0.4,0.390625,"{""P"":-0.5004523026315789,""Q"":-0.4990953947368421,""Y"":-0.49954769736842103}","{""P"":-0.0009046052631578947,""Q"":0.0009046052631578947,""Y"":0.0}","{""P"":1.0,""Q"":0.9990953947368421,""Y"":0.9990953947368421}","{""P"":0.49954769736842103,""Q"":0.5,""Y"":0.49954769736842103}","{""P"":0.49954769736842103,""Q"":0.5,""Y"":0.49954769736842103}"
631,0.4000000000000001,1.0,"{""P"":1.0,""Q"":1.0,""Y"":1.0}",0.4,0.4,"{""P"":-0.5,""Q"":-0.5,""Y"":-0.5}","{""P"":0.0,""Q"":0.0,""Y"":0.0}","{""P"":1.0,""Q"":1.0,""Y"":1.0}","{""P"":0.5,""Q"":0.5,""Y"":0.5}","{""P"":0.5,""Q"":0.5,""Y"":0.5}"
641,0.4000000000000001,1.0,"{""P"":1.0,""Q"":1.0,""Y"":1.0}",0.4,0.4,"{""P"":-0.5,""Q"":-0.5,""Y"":-0.5}","{""P"":0.0,""Q"":0.0,""Y"":0.0}","{""P"":1.0,""Q"":1.0,""Y"":1.0}","{""P"":0.5,""Q"":0.5,""Y"":0.5}","{""P"":0.5,""Q"":0.5,""Y"":0.5}"
643,0.4000000000000001,1.0,"{""P"":1.0,""Q"":1.0,""Y"":1.0}",0.4,0.4,"{""P"":-0.5,""Q"":-0.5,""Y"":-0.5}","{""P"":0.0,""Q"":0.0,""Y"":0.0}","{""P"":1.0,""Q"":1.0,""Y"":1.0}","{""P"":0.5,""Q"":0.5,""Y"":0.5}","{""P"":0.5,""Q"":0.5,""Y"":0.5}"
647,0.3968749999999999,0.9895833333333334,"{""P"":0.984375,""Q"":1.0,""Y"":0.984375}",0.39957386363636366,0.396875,"{""P"":-0.5078125,""Q"":-0.484375,""Y"":-0.4921875}","{""P"":-0.015625,""Q"":0.015625,""Y"":0.0}","{""P"":1.0,""Q"":0.984375,""Y"":0.984375}","{""P"":0.4921875,""Q"":0.5,""Y"":0.4921875}","{""P"":0.4921875,""Q"":0.5,""Y"":0.4921875}"
653,0.4000000000000001,1.0,"{""P"":1.0,""Q"":1.0,""Y"":1.0}",0.4,0.4,"{""P"":-0.5,""Q"":-0.5,""Y"":-0.5}","{""P"":0.0,""Q"":0.0,""Y"":0.0}","{""P"":1.0,""Q"":1.0,""Y"":1.0}","{""P"":0.5,""Q"":0.5,""Y"":0.5}","{""P"":0.5,""Q"":0.5,""Y"":0.5}"
