seed,schedule,phase,block_position,requested_goal,local_offset,truth_table_class,raw_hard_signature,majority_agreement,tuple_consistency,pure_goal
577,p_q_y,component_1_P,1,P,0,raw_codeword_specific_composite,1011001010111010101000101011101010100010101000000010000000100000,0.40625,0.65625,
577,p_q_y,component_1_P,1,P,1,raw_codeword_specific_composite,1011001010110010001000101010000010111010101100100010000000100000,0.453125,0.640625,
577,p_q_y,component_1_P,1,P,117,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_1_P,1,P,128,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_1_P,1,P,13,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_1_P,1,P,161,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_1_P,1,P,17,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_1_P,1,P,2,raw_codeword_specific_composite,1010001000000000001000000000000010111011101110101011001010100010,0.59375,0.71875,
577,p_q_y,component_1_P,1,P,222,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_1_P,1,P,24,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_1_P,1,P,256,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_1_P,1,P,3,raw_codeword_specific_composite,1010000000000000000000000000000011111011101111101011101111110011,0.640625,0.859375,
577,p_q_y,component_1_P,1,P,33,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_1_P,1,P,4,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_1_P,1,P,45,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_1_P,1,P,5,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_1_P,1,P,62,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_1_P,1,P,7,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_1_P,1,P,85,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_1_P,1,P,9,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_2_Q,2,Q,0,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_2_Q,2,Q,1,P,0000000000000000000000000000000011111111111111111111111111111111,0.75,1.0,P
577,p_q_y,component_2_Q,2,Q,117,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
577,p_q_y,component_2_Q,2,Q,128,Q,1001100110011001100110011001100110011001100110011001100110011001,0.75,1.0,Q
