seed,isolated_goal,offset,exact_requested_truth_table,pure_behavior_and_causal_control,unique_pure_goal_classification,behavior_P,behavior_Q,behavior_Y,causal_P,causal_Q,causal_Y,raw_hard_signature,arm_stably_pure
563,P,161,True,True,P,1.0,0.5,0.5,1.0,0.5,0.5,0000000000000000000000000000000011111111111111111111111111111111,True
563,P,222,True,True,P,1.0,0.5,0.5,1.0,0.5,0.5,0000000000000000000000000000000011111111111111111111111111111111,True
563,P,256,True,True,P,1.0,0.5,0.5,1.0,0.5,0.5,0000000000000000000000000000000011111111111111111111111111111111,True
563,Q,161,True,True,Q,0.5,1.0,0.5,0.5,1.0,0.5,1001100110011001100110011001100110011001100110011001100110011001,True
563,Q,222,True,True,Q,0.5,1.0,0.5,0.5,1.0,0.5,1001100110011001100110011001100110011001100110011001100110011001,True
563,Q,256,True,True,Q,0.5,1.0,0.5,0.5,1.0,0.5,1001100110011001100110011001100110011001100110011001100110011001,True
563,Y,161,True,True,Y,0.5,0.5,1.0,0.5,0.5,1.0,0000111111110000111100000000111100001111111100001111000000001111,True
563,Y,222,True,True,Y,0.5,0.5,1.0,0.5,0.5,1.0,0000111111110000111100000000111100001111111100001111000000001111,True
563,Y,256,True,True,Y,0.5,0.5,1.0,0.5,0.5,1.0,0000111111110000111100000000111100001111111100001111000000001111,True
569,P,161,True,True,P,1.0,0.5,0.5,1.0,0.5,0.5,0000000000000000000000000000000011111111111111111111111111111111,True
569,P,222,True,True,P,1.0,0.5,0.5,1.0,0.5,0.5,0000000000000000000000000000000011111111111111111111111111111111,True
569,P,256,True,True,P,1.0,0.5,0.5,1.0,0.5,0.5,0000000000000000000000000000000011111111111111111111111111111111,True
569,Q,161,True,True,Q,0.5,1.0,0.5,0.5,1.0,0.5,1001100110011001100110011001100110011001100110011001100110011001,True
569,Q,222,True,True,Q,0.5,1.0,0.5,0.5,1.0,0.5,1001100110011001100110011001100110011001100110011001100110011001,True
569,Q,256,True,True,Q,0.5,1.0,0.5,0.5,1.0,0.5,1001100110011001100110011001100110011001100110011001100110011001,True
569,Y,161,True,True,Y,0.5,0.5,1.0,0.5,0.5,1.0,0000111111110000111100000000111100001111111100001111000000001111,True
569,Y,222,True,True,Y,0.5,0.5,1.0,0.5,0.5,1.0,0000111111110000111100000000111100001111111100001111000000001111,True
569,Y,256,True,True,Y,0.5,0.5,1.0,0.5,0.5,1.0,0000111111110000111100000000111100001111111100001111000000001111,True
571,P,161,True,True,P,1.0,0.5,0.5,1.0,0.5,0.5,0000000000000000000000000000000011111111111111111111111111111111,True
571,P,222,True,True,P,1.0,0.5,0.5,1.0,0.5,0.5,0000000000000000000000000000000011111111111111111111111111111111,True
571,P,256,True,True,P,1.0,0.5,0.5,1.0,0.5,0.5,0000000000000000000000000000000011111111111111111111111111111111,True
571,Q,161,True,True,Q,0.5,1.0,0.5,0.5,1.0,0.5,1001100110011001100110011001100110011001100110011001100110011001,True
571,Q,222,True,True,Q,0.5,1.0,0.5,0.5,1.0,0.5,1001100110011001100110011001100110011001100110011001100110011001,True
571,Q,256,True,True,Q,0.5,1.0,0.5,0.5,1.0,0.5,1001100110011001100110011001100110011001100110011001100110011001,True
571,Y,161,True,True,Y,0.5,0.5,1.0,0.5,0.5,1.0,0000111111110000111100000000111100001111111100001111000000001111,True
571,Y,222,True,True,Y,0.5,0.5,1.0,0.5,0.5,1.0,0000111111110000111100000000111100001111111100001111000000001111,True
571,Y,256,True,True,Y,0.5,0.5,1.0,0.5,0.5,1.0,0000111111110000111100000000111100001111111100001111000000001111,True
