arm,beta,outcome,estimate,ci_low,ci_high,n_seeds
reinforce_full,0.003,rho_y,-0.07694000000000001,-0.20295999999999997,0.025349999999999984,10
reinforce_full,0.003,iid_accuracy,-0.00814999999999999,-0.021374999999999988,0.004925000000000001,10
reinforce_full,0.01,rho_y,-0.0010300000000000088,-0.1272,0.0995415,10
reinforce_full,0.01,iid_accuracy,-0.0012500000000000067,-0.014577500000000004,0.009499999999999975,10
reinforce_full,0.03,rho_y,-0.10007999999999999,-0.2244625,0.024260250000000008,10
reinforce_full,0.03,iid_accuracy,-0.010624999999999996,-0.023524999999999973,0.0023249999999999994,10
reinforce_full,0.1,rho_y,-0.02763,-0.12924,0.07594175000000006,10
reinforce_full,0.1,iid_accuracy,-0.0027249999999999887,-0.013799999999999969,0.007950625000000005,10
reinforce_full,0.3,rho_y,0.02232,-0.07871025,0.12376225000000002,10
reinforce_full,0.3,iid_accuracy,0.0019749999999999933,-0.009449999999999991,0.013600624999999993,10
actor_critic_subspace1024,0.003,rho_y,-0.07565999999999999,-0.15135,0.0,10
actor_critic_subspace1024,0.003,iid_accuracy,-0.00754999999999999,-0.015374999999999982,0.0,10
actor_critic_subspace1024,0.01,rho_y,-0.07514,-0.15072999999999998,0.0,10
actor_critic_subspace1024,0.01,iid_accuracy,-0.007674999999999999,-0.015375000000000005,0.0,10
actor_critic_subspace1024,0.03,rho_y,-0.0736,-0.14731,0.0,10
actor_critic_subspace1024,0.03,iid_accuracy,-0.007724999999999993,-0.015449999999999986,0.0,10
actor_critic_subspace1024,0.1,rho_y,-0.12464,-0.19995,-0.04955,10
actor_critic_subspace1024,0.1,iid_accuracy,-0.012324999999999985,-0.019974999999999975,-0.004674999999999996,10
actor_critic_subspace1024,0.3,rho_y,-0.05077,-0.12644,0.0,10
actor_critic_subspace1024,0.3,iid_accuracy,-0.005274999999999997,-0.01309999999999999,0.0,10
