arm,q,k,beta,rho_y_estimate,rho_y_ci_low,rho_y_ci_high,rho_y_n_seeds,rho_y_n_cells,intended_probability_estimate,intended_probability_ci_low,intended_probability_ci_high,intended_probability_n_seeds,intended_probability_n_cells,iid_accuracy_estimate,iid_accuracy_ci_low,iid_accuracy_ci_high,iid_accuracy_n_seeds,iid_accuracy_n_cells,final_policy_entropy_estimate,final_policy_entropy_ci_low,final_policy_entropy_ci_high,final_policy_entropy_n_seeds,final_policy_entropy_n_cells,intended_probability_auc_estimate,intended_probability_auc_ci_low,intended_probability_auc_ci_high,intended_probability_auc_n_seeds,intended_probability_auc_n_cells,acquisition_observed_estimate,acquisition_observed_ci_low,acquisition_observed_ci_high,acquisition_observed_n_seeds,acquisition_observed_n_cells,proxy_flip_rate_estimate,proxy_flip_rate_ci_low,proxy_flip_rate_ci_high,proxy_flip_rate_n_seeds,proxy_flip_rate_n_cells,exact_flip_rate_estimate,exact_flip_rate_ci_low,exact_flip_rate_ci_high,exact_flip_rate_n_seeds,exact_flip_rate_n_cells,reliably_intended_seeds,reliably_intended_cell
actor_critic_full,0.5,2,0.0,1.0,1.0,1.0,10,10,0.9999312823839647,0.9998011205894599,0.9999980284410441,10,10,1.0,1.0,1.0,10,10,0.00039052251393059125,1.529560817232323e-05,0.001121869651193492,10,10,0.9919905384585347,0.9917875952958377,0.9922421738949119,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,10,1
actor_critic_full,0.5,2,0.003,1.0,1.0,1.0,10,10,0.9999882971724997,0.9999762037253191,0.9999971013644017,10,10,1.0,1.0,1.0,10,10,0.0005699992784684582,3.243900990810289e-05,0.0011581613818634651,10,10,0.9920124011534603,0.9917964953131053,0.9922718315515885,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,10,1
actor_critic_full,0.5,2,0.01,1.0,1.0,1.0,10,10,0.9999925248557766,0.9999886661787617,0.9999958714106023,10,10,1.0,1.0,1.0,10,10,8.568181415284926e-05,3.812210422324824e-05,0.00014416747425343603,10,10,0.9920053276477576,0.9917891194705026,0.992261852651802,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,10,1
actor_critic_full,0.5,2,0.03,1.0,1.0,1.0,10,10,0.9999643438004139,0.9999057384653673,0.9999976884988834,10,10,1.0,1.0,1.0,10,10,0.00010755804823929793,2.1463646146457907e-05,0.0002554863492014192,10,10,0.9919893564878104,0.99179140263335,0.9922352437574283,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,10,1
actor_critic_full,0.5,2,0.1,1.0,1.0,1.0,10,10,0.9999927796678332,0.9999872967335647,0.9999972665729353,10,10,1.0,1.0,1.0,10,10,5.8493555889072014e-05,1.9658142451817185e-05,0.0001062298606029799,10,10,0.9919869968372185,0.9917644075992184,0.99224552953702,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,10,1
actor_critic_full,0.5,2,0.3,1.0,1.0,1.0,10,10,0.9999836691712071,0.9999563521589339,0.9999994163911585,10,10,1.0,1.0,1.0,10,10,5.131698695777231e-05,1.0038679766068981e-05,0.0001089427099373097,10,10,0.991944702165199,0.9917388755550728,0.9922038380694165,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,10,1
actor_critic_full,0.5,3,0.0,0.98752,0.9625599999999999,1.0,10,10,0.9875016479595846,0.9625367926354534,0.9999899767328776,10,10,0.98705,0.96115,1.0,10,10,0.00015692539636802394,7.827153840480605e-05,0.00025199667673405203,10,10,0.9741813667913837,0.9499978821782337,0.9865879307452489,10,10,0.9,0.7,1.0,10,10,0.0,0.0,0.0,10,10,0.9751033333333334,0.92531,1.0,10,10,9,1
actor_critic_full,0.5,3,0.003,0.98752,0.9625599999999999,1.0,10,10,0.9874996726606835,0.9625336681487678,0.9999891364965855,10,10,0.98705,0.96115,1.0,10,10,0.00014174675925460178,9.800225848266564e-05,0.00018821550393113284,10,10,0.9741281339122642,0.9500118320986719,0.986559602167075,10,10,0.9,0.7,1.0,10,10,0.0,0.0,0.0,10,10,0.9751033333333334,0.92531,1.0,10,10,9,1
actor_critic_full,0.5,3,0.01,0.98752,0.9625599999999999,1.0,10,10,0.9875105986378478,0.962550233443964,0.9999944621584467,10,10,0.98705,0.96115,1.0,10,10,0.00011045633164030733,5.998401969918632e-05,0.00016682708310327145,10,10,0.9741653671717444,0.9501449686878145,0.986568432494855,10,10,0.9,0.7,1.0,10,10,0.0,0.0,0.0,10,10,0.9751033333333334,0.92531,1.0,10,10,9,1
actor_critic_full,0.5,3,0.03,0.98752,0.9625599999999999,1.0,10,10,0.9874962051711833,0.9625309876918281,0.9999888859499858,10,10,0.98705,0.96115,1.0,10,10,0.0003236616626963951,0.0001316374163980072,0.000573017964297833,10,10,0.9742272404704636,0.9501637325888451,0.9866009741160001,10,10,0.9,0.7,1.0,10,10,0.0,0.0,0.0,10,10,0.9751033333333334,0.92531,1.0,10,10,9,1
