rule,q,width,depth,exact_decoder_accuracy_estimate,exact_decoder_accuracy_ci_low,exact_decoder_accuracy_ci_high,exact_decoder_accuracy_n_seeds,exact_decoder_accuracy_n_cells,proxy_decoder_accuracy_estimate,proxy_decoder_accuracy_ci_low,proxy_decoder_accuracy_ci_high,proxy_decoder_accuracy_n_seeds,proxy_decoder_accuracy_n_cells,decoder_advantage_estimate,decoder_advantage_ci_low,decoder_advantage_ci_high,decoder_advantage_n_seeds,decoder_advantage_n_cells,rho_y_estimate,rho_y_ci_low,rho_y_ci_high,rho_y_n_seeds,rho_y_n_cells,iid_accuracy_estimate,iid_accuracy_ci_low,iid_accuracy_ci_high,iid_accuracy_n_seeds,iid_accuracy_n_cells,single_channel_bayes_estimate,single_channel_bayes_ci_low,single_channel_bayes_ci_high,single_channel_bayes_n_seeds,single_channel_bayes_n_cells,proxy_flip_rate_estimate,proxy_flip_rate_ci_low,proxy_flip_rate_ci_high,proxy_flip_rate_n_seeds,proxy_flip_rate_n_cells,rule_flip_rate_estimate,rule_flip_rate_ci_low,rule_flip_rate_ci_high,rule_flip_rate_n_seeds,rule_flip_rate_n_cells
conjunction,0.75,128,1,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.76315,0.7617499999999999,0.76450025,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10
conjunction,0.75,128,2,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.76315,0.7617999999999999,0.7644599999999999,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10
conjunction,0.75,16,1,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.76315,0.7617799999999999,0.76445,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10
conjunction,0.75,16,2,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.76315,0.76181,0.7644399999999999,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10
conjunction,0.75,32,1,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.76315,0.7617499999999999,0.76452025,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10
conjunction,0.75,32,2,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.76315,0.76179,0.76443025,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10
conjunction,0.75,64,1,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.76315,0.7617197499999998,0.76446025,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10
conjunction,0.75,64,2,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.76315,0.7617997499999998,0.7644999999999998,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10
conjunction,0.75,8,1,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.76315,0.76175975,0.7644199999999999,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10
conjunction,0.75,8,2,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.76315,0.76179,0.76445,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10
conjunction,0.9,128,1,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.76315,0.76176,0.7644602500000001,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10
