factor,high,low,outcome,estimate,ci_low,ci_high,n_seeds,n_matched_cells
overlap,nested,independent,both_wrong_accuracy,0.258810625,0.23201266666666667,0.2858025989583333,10,480
overlap,nested,independent,p_wrong_accuracy,0.01431791666666667,0.001012312500000003,0.028403000000000005,10,480
overlap,nested,independent,q_wrong_accuracy,-0.003933333333333332,-0.011385203125,0.002867093750000004,10,480
overlap,nested,independent,share_p,-0.016075998523445184,-0.027803443795307217,-0.005745039272999949,10,480
overlap,nested,independent,share_q,-0.09651746026900605,-0.10854974414976173,-0.08581476772475383,10,480
overlap,nested,independent,share_y,0.11259345879245124,0.09529479937610803,0.1329827374466034,10,480
overlap,nested,independent,iid_accuracy,0.004606249999999999,0.0037010156250000007,0.005427617187500003,10,480
q_p,0.99,0.9,both_wrong_accuracy,-0.3279522916666667,-0.36316631250000003,-0.29520216145833333,10,480
q_p,0.99,0.9,p_wrong_accuracy,-0.47457458333333324,-0.4956782552083333,-0.4549058541666667,10,480
q_p,0.99,0.9,q_wrong_accuracy,0.2676191666666667,0.2347760729166667,0.297593921875,10,480
q_p,0.99,0.9,share_p,0.41620962225947367,0.40182465156997604,0.4312837961096911,10,480
q_p,0.99,0.9,share_q,-0.17878927552407398,-0.20317899922909546,-0.1521866047944744,10,480
q_p,0.99,0.9,share_y,-0.23742034673539963,-0.26983107755826385,-0.2086998637469861,10,480
q_p,0.99,0.9,iid_accuracy,0.002905208333333336,0.0008066927083333375,0.004994348958333338,10,480
q_q,0.99,0.9,both_wrong_accuracy,-0.27739218749999994,-0.294940359375,-0.2593986953125,10,320
q_q,0.99,0.9,p_wrong_accuracy,0.0633415625,0.049637421875000004,0.07886942187500001,10,320
q_q,0.99,0.9,q_wrong_accuracy,-0.3582578125,-0.37517100000000003,-0.34224528125,10,320
q_q,0.99,0.9,share_p,-0.03147298000838886,-0.04396637642883874,-0.01953900004615974,10,320
q_q,0.99,0.9,share_q,0.3125299556779057,0.3011148004428399,0.3259612739995837,10,320
q_q,0.99,0.9,share_y,-0.2810569756695169,-0.2937906102579405,-0.2673158542722078,10,320
q_q,0.99,0.9,iid_accuracy,0.0022000000000000036,0.0005154492187500019,0.0039945898437500045,10,320
k_q,3,2,both_wrong_accuracy,0.088035625,0.06002078645833334,0.11464494270833334,10,480
k_q,3,2,p_wrong_accuracy,0.018772500000000004,0.004037343750000001,0.03513203645833334,10,480
k_q,3,2,q_wrong_accuracy,0.08537249999999999,0.070452,0.10058671354166668,10,480
k_q,3,2,share_p,-0.048507308146828146,-0.062392478148584986,-0.03397091610530836,10,480
k_q,3,2,share_q,-0.06094231312820917,-0.07494832716761496,-0.04670872724787643,10,480
k_q,3,2,share_y,0.10944962127503732,0.0820007920514253,0.137963565223326,10,480
k_q,3,2,iid_accuracy,-0.00022916666666666832,-0.0011984635416666686,0.0009484765624999992,10,480
k_y,5,3,both_wrong_accuracy,-0.579274375,-0.609225171875,-0.547419265625,10,480
k_y,5,3,p_wrong_accuracy,-0.4211383333333333,-0.4390732760416667,-0.40296202604166664,10,480
k_y,5,3,q_wrong_accuracy,-0.24262249999999996,-0.25688803125,-0.23000190624999997,10,480
k_y,5,3,share_p,0.3859384788055178,0.3719169529535936,0.39955187180952434,10,480
k_y,5,3,share_q,0.19832431004907014,0.18244120858359764,0.2132295505755173,10,480
k_y,5,3,share_y,-0.5842627888545879,-0.6070851960114526,-0.5588413401489156,10,480
k_y,5,3,iid_accuracy,-0.013594791666666672,-0.01567942708333334,-0.011524296875000005,10,480
width,64,16,both_wrong_accuracy,0.080776875,0.04426247395833334,0.11568104166666664,10,480
width,64,16,p_wrong_accuracy,0.0388175,0.020820911458333338,0.05779125520833334,10,480
width,64,16,q_wrong_accuracy,0.06798166666666666,0.040329869791666674,0.09305929166666668,10,480
width,64,16,share_p,-0.01892974968575221,-0.03197645796486785,-0.006206950914365026,10,480
width,64,16,share_q,-0.05561956814004072,-0.0783841271013823,-0.032717042418212695,10,480
width,64,16,share_y,0.07454931782579292,0.040260733886587775,0.10693123962906351,10,480
width,64,16,iid_accuracy,0.006205208333333337,0.004149440104166669,0.008122447916666671,10,480
