comparison,k_y,factor,high,low,outcome,estimate,ci_low,ci_high,n_seeds,n_matched_cells,overlap
nested-independent,3,overlap,nested,independent,mixture_closure_error,-0.3069033333333333,-0.34208353125,-0.2733083125,10,240,
nested-independent,3,overlap,nested,independent,mixture_closure_abs,-0.13829583333333334,-0.17700816666666663,-0.1008904895833333,10,240,
nested-independent,3,overlap,nested,independent,static_mixture_compatible,0.3458333333333333,0.2791666666666667,0.4125,10,240,
nested-independent,5,overlap,nested,independent,mixture_closure_error,-0.18994874999999997,-0.21917649999999997,-0.16054449999999998,10,240,
nested-independent,5,overlap,nested,independent,mixture_closure_abs,0.027112083333333325,0.004885322916666667,0.050325583333333326,10,240,
nested-independent,5,overlap,nested,independent,static_mixture_compatible,0.05833333333333333,0.016666666666666666,0.09999999999999999,10,240,
kY5-kY3,5-3,k_y,5,3,mixture_closure_error,-0.14296375,-0.18211451041666668,-0.10526362499999997,10,240,independent
kY5-kY3,5-3,k_y,5,3,mixture_closure_abs,-0.14234875,-0.18408971875000002,-0.10347998958333333,10,240,independent
kY5-kY3,5-3,k_y,5,3,static_mixture_compatible,0.2333333333333333,0.1375,0.3291666666666667,10,240,independent
kY5-kY3,5-3,k_y,5,3,mixture_closure_error,-0.02600916666666666,-0.049117499999999994,-0.0021529374999999986,10,240,nested
kY5-kY3,5-3,k_y,5,3,mixture_closure_abs,0.023059166666666655,0.0022481249999999923,0.04412763541666665,10,240,nested
kY5-kY3,5-3,k_y,5,3,static_mixture_compatible,-0.054166666666666675,-0.10833333333333335,-0.0041666666666666675,10,240,nested
