outcome,estimate,ci_low,ci_high,n_seeds,n_cells
calibration_p,1.0,1.0,1.0,10,960
calibration_q,1.0,1.0,1.0,10,960
calibration_y,1.0,1.0,1.0,10,960
iid_accuracy,0.9920703124999999,0.9910115950520834,0.9932440755208333,10,960
both_wrong_accuracy,0.49818760416666674,0.4768256536458333,0.5226601067708333,10,960
p_wrong_accuracy,0.7244179166666667,0.7131223359375,0.7366637994791667,10,960
q_wrong_accuracy,0.803409375,0.7869368203124999,0.8217171067708333,10,960
share_p,0.3118819860995554,0.29991677511360454,0.3230584462203086,10,960
share_q,0.19426069590747333,0.17893622384049515,0.20774270830636568,10,960
share_y,0.4938573179929713,0.47145071034765335,0.5195554067378967,10,960
diagnostic_causal_agree,0.9677083333333332,0.9614583333333334,0.9739583333333333,10,960
pure_goal_selection,0.6322916666666667,0.6052083333333333,0.6572916666666666,10,960
mixture_weight_p,0.30522177083333335,0.29251133072916663,0.3191402526041667,10,960
mixture_weight_q,0.22623031249999997,0.21198707291666666,0.24030932031250002,10,960
mixture_weight_y,0.49818760416666674,0.4762573385416667,0.5228664270833334,10,960
mixture_closure_error,0.0296396875,0.016650807291666663,0.04303207552083334,10,960
mixture_closure_abs,0.12653343749999998,0.11798948437499998,0.13421964062500003,10,960
static_mixture_compatible,0.7177083333333334,0.7010416666666666,0.7343750000000001,10,960
