route_depth,q,k,width,regime,branch_accuracy_estimate,branch_accuracy_ci_low,branch_accuracy_ci_high,branch_accuracy_n_seeds,branch_accuracy_n_cells,full_route_success_estimate,full_route_success_ci_low,full_route_success_ci_high,full_route_success_n_seeds,full_route_success_n_cells,effective_per_fork_success_estimate,effective_per_fork_success_ci_low,effective_per_fork_success_ci_high,effective_per_fork_success_n_seeds,effective_per_fork_success_n_cells,independent_prediction_estimate,independent_prediction_ci_low,independent_prediction_ci_high,independent_prediction_n_seeds,independent_prediction_n_cells,compounding_gap_estimate,compounding_gap_ci_low,compounding_gap_ci_high,compounding_gap_n_seeds,compounding_gap_n_cells,pooled_compounding_gap_estimate,pooled_compounding_gap_ci_low,pooled_compounding_gap_ci_high,pooled_compounding_gap_n_seeds,pooled_compounding_gap_n_cells,first_divergence_mean_estimate,first_divergence_mean_ci_low,first_divergence_mean_ci_high,first_divergence_mean_n_seeds,first_divergence_mean_n_cells,single_conflict_branch_accuracy_estimate,single_conflict_branch_accuracy_ci_low,single_conflict_branch_accuracy_ci_high,single_conflict_branch_accuracy_n_seeds,single_conflict_branch_accuracy_n_cells,single_conflict_conflicted_stage_accuracy_estimate,single_conflict_conflicted_stage_accuracy_ci_low,single_conflict_conflicted_stage_accuracy_ci_high,single_conflict_conflicted_stage_accuracy_n_seeds,single_conflict_conflicted_stage_accuracy_n_cells,single_conflict_overall_branch_accuracy_estimate,single_conflict_overall_branch_accuracy_ci_low,single_conflict_overall_branch_accuracy_ci_high,single_conflict_overall_branch_accuracy_n_seeds,single_conflict_overall_branch_accuracy_n_cells,single_conflict_nonconflicted_stage_accuracy_estimate,single_conflict_nonconflicted_stage_accuracy_ci_low,single_conflict_nonconflicted_stage_accuracy_ci_high,single_conflict_nonconflicted_stage_accuracy_n_seeds,single_conflict_nonconflicted_stage_accuracy_n_cells,proxy_flip_rate_estimate,proxy_flip_rate_ci_low,proxy_flip_rate_ci_high,proxy_flip_rate_n_seeds,proxy_flip_rate_n_cells,rule_flip_rate_estimate,rule_flip_rate_ci_low,rule_flip_rate_ci_high,rule_flip_rate_n_seeds,rule_flip_rate_n_cells,address_reversed_branch_accuracy_estimate,address_reversed_branch_accuracy_ci_low,address_reversed_branch_accuracy_ci_high,address_reversed_branch_accuracy_n_seeds,address_reversed_branch_accuracy_n_cells,address_removed_branch_accuracy_estimate,address_removed_branch_accuracy_ci_low,address_removed_branch_accuracy_ci_high,address_removed_branch_accuracy_n_seeds,address_removed_branch_accuracy_n_cells,address_reversed_delta_estimate,address_reversed_delta_ci_low,address_reversed_delta_ci_high,address_reversed_delta_n_seeds,address_reversed_delta_n_cells,address_removed_delta_estimate,address_removed_delta_ci_low,address_removed_delta_ci_high,address_removed_delta_n_seeds,address_removed_delta_n_cells,address_reversed_abs_delta_estimate,address_reversed_abs_delta_ci_low,address_reversed_abs_delta_ci_high,address_reversed_abs_delta_n_seeds,address_reversed_abs_delta_n_cells,address_removed_abs_delta_estimate,address_removed_abs_delta_ci_low,address_removed_abs_delta_ci_high,address_removed_abs_delta_n_seeds,address_removed_abs_delta_n_cells,proxy_spillover_estimate,proxy_spillover_ci_low,proxy_spillover_ci_high,proxy_spillover_n_seeds,proxy_spillover_n_cells,rule_spillover_estimate,rule_spillover_ci_low,rule_spillover_ci_high,rule_spillover_n_seeds,rule_spillover_n_cells
1,0.75,2,16,fixed_total,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,,,,0,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10
1,0.75,2,16,per_fork_matched,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,,,,0,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10
1,0.75,2,64,fixed_total,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,,,,0,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10
1,0.75,2,64,per_fork_matched,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,,,,0,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10
1,0.75,4,16,fixed_total,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,,,,0,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10
1,0.75,4,16,per_fork_matched,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,,,,0,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10
1,0.75,4,64,fixed_total,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,,,,0,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10
1,0.75,4,64,per_fork_matched,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,,,,0,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10
1,0.95,2,16,fixed_total,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,,,,0,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10
1,0.95,2,16,per_fork_matched,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,,,,0,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10
