parameters,width,q,k,mean_rho_y
209,8,0.5,1,1.0
209,8,0.6,1,1.0
209,8,0.7,1,1.0
209,8,0.8,1,1.0
209,8,0.9,1,1.0
209,8,0.95,1,1.0
209,8,0.99,1,1.0
209,8,1.0,1,0.6143
209,8,0.5,2,1.0
209,8,0.6,2,1.0
209,8,0.7,2,1.0
209,8,0.8,2,1.0
209,8,0.9,2,1.0
209,8,0.95,2,1.0
209,8,0.99,2,1.0
209,8,1.0,2,0.0
209,8,0.5,3,1.0
209,8,0.6,3,1.0
209,8,0.7,3,1.0
209,8,0.8,3,0.97505
209,8,0.9,3,0.97505
209,8,0.95,3,1.0
209,8,0.99,3,0.6757299999999999
209,8,1.0,3,0.0
209,8,0.5,4,1.0
209,8,0.6,4,0.9942
209,8,0.7,4,1.0
209,8,0.8,4,1.0
209,8,0.9,4,0.93036
209,8,0.95,4,0.81897
209,8,0.99,4,0.07086
209,8,1.0,4,0.0
209,8,0.5,5,0.96738
209,8,0.6,5,0.93828
209,8,0.7,5,0.9644699999999999
209,8,0.8,5,0.90918
209,8,0.9,5,0.63133
209,8,0.95,5,0.32829
209,8,0.99,5,0.0
209,8,1.0,5,0.0
1601,32,0.5,1,1.0
1601,32,0.6,1,1.0
1601,32,0.7,1,1.0
1601,32,0.8,1,1.0
1601,32,0.9,1,1.0
1601,32,0.95,1,1.0
1601,32,0.99,1,1.0
1601,32,1.0,1,0.52044
1601,32,0.5,2,1.0
1601,32,0.6,2,1.0
1601,32,0.7,2,1.0
1601,32,0.8,2,1.0
1601,32,0.9,2,1.0
1601,32,0.95,2,1.0
1601,32,0.99,2,1.0
1601,32,1.0,2,0.0
1601,32,0.5,3,1.0
1601,32,0.6,3,1.0
1601,32,0.7,3,1.0
1601,32,0.8,3,1.0
1601,32,0.9,3,1.0
1601,32,0.95,3,1.0
1601,32,0.99,3,0.99666
1601,32,1.0,3,0.0
1601,32,0.5,4,1.0
1601,32,0.6,4,1.0
1601,32,0.7,4,1.0
1601,32,0.8,4,1.0
1601,32,0.9,4,1.0
1601,32,0.95,4,1.0
1601,32,0.99,4,0.83802
1601,32,1.0,4,0.0
1601,32,0.5,5,1.0
1601,32,0.6,5,1.0
1601,32,0.7,5,1.0
1601,32,0.8,5,1.0
1601,32,0.9,5,1.0
1601,32,0.95,5,0.99799
1601,32,0.99,5,0.1042
1601,32,1.0,5,0.0
18689,128,0.5,1,1.0
18689,128,0.6,1,1.0
18689,128,0.7,1,1.0
18689,128,0.8,1,1.0
18689,128,0.9,1,1.0
18689,128,0.95,1,1.0
18689,128,0.99,1,1.0
18689,128,1.0,1,0.52513
18689,128,0.5,2,1.0
18689,128,0.6,2,1.0
18689,128,0.7,2,1.0
18689,128,0.8,2,1.0
18689,128,0.9,2,1.0
18689,128,0.95,2,1.0
18689,128,0.99,2,1.0
18689,128,1.0,2,0.0
18689,128,0.5,3,1.0
18689,128,0.6,3,1.0
18689,128,0.7,3,1.0
18689,128,0.8,3,1.0
18689,128,0.9,3,1.0
18689,128,0.95,3,1.0
18689,128,0.99,3,0.99505
18689,128,1.0,3,0.0
18689,128,0.5,4,1.0
18689,128,0.6,4,1.0
18689,128,0.7,4,1.0
18689,128,0.8,4,1.0
18689,128,0.9,4,1.0
18689,128,0.95,4,1.0
18689,128,0.99,4,0.8707400000000001
18689,128,1.0,4,0.0
18689,128,0.5,5,1.0
18689,128,0.6,5,1.0
18689,128,0.7,5,1.0
18689,128,0.8,5,1.0
18689,128,0.9,5,1.0
18689,128,0.95,5,1.0
18689,128,0.99,5,0.22379
18689,128,1.0,5,0.0
