mode,k,total,trainable,decoder,behavior,crossed
head_only,2,18689,129,1.0,0.1241,True
head_only,2,1601,33,1.0,0.1256,True
head_only,2,545,33,1.0,0.1484,True
full,5,2177,2177,1.0,1.0,True
head_only,5,1601,33,0.45975,0.0054,False
full,5,1089,1089,1.0,1.0,True
full,3,18689,18689,1.0,1.0,True
full,3,13569,13569,1.0,1.0,True
full,1,1089,1089,1.0,1.0,True
head_only,3,545,33,1.0,0.0,True
full,4,1089,1089,1.0,1.0,True
head_only,4,3713,33,0.62325,0.3683,False
full,3,1089,1089,1.0,1.0,True
head_only,4,545,33,0.50325,0.0,False
full,4,51713,51713,1.0,1.0,True
full,3,545,545,1.0,1.0,True
head_only,3,1089,65,0.63975,0.0,False
head_only,4,137,9,0.538,0.128,False
subspace,5,51713,1,0.501,0.4251,False
head_only,3,137,9,0.63725,0.1543,False
head_only,2,209,9,0.49075,0.3042,False
full,3,545,545,1.0,1.0,True
head_only,1,137,9,1.0,0.9294,True
head_only,4,2177,129,1.0,0.0,True
full,5,1089,1089,1.0,1.0,True
full,2,353,353,1.0,1.0,True
full,4,353,353,1.0,0.6243,True
head_only,5,273,17,0.4975,0.1506,False
head_only,2,209,9,0.7555,0.3684,False
full,1,3713,3713,1.0,1.0,True
head_only,2,18689,129,1.0,0.1438,True
head_only,4,3713,33,0.50275,0.0,False
head_only,2,1089,17,0.75425,0.3666,False
head_only,1,5249,65,1.0,0.9967,True
full,4,545,545,1.0,1.0,True
full,1,51713,51713,1.0,1.0,True
head_only,4,13569,65,0.55975,0.0003,False
full,4,18689,18689,1.0,1.0,True
head_only,1,3713,33,1.0,0.9988,True
head_only,3,1601,33,0.63725,0.0004,False
head_only,4,545,17,0.766,0.1323,False
head_only,1,1089,17,1.0,0.6926,True
full,3,545,545,1.0,1.0,True
full,3,51713,51713,1.0,1.0,True
head_only,5,5249,65,0.49325,0.0,False
full,2,5249,5249,1.0,1.0,True
full,2,545,545,1.0,1.0,True
head_only,3,2177,129,1.0,0.0,True
head_only,4,273,17,0.558,0.0881,False
full,3,545,545,1.0,1.0,True
full,4,353,353,1.0,1.0,True
full,5,3713,3713,1.0,1.0,True
subspace,2,51713,16,1.0,0.125,True
full,2,1601,1601,1.0,1.0,True
full,3,273,273,1.0,1.0,True
full,1,353,353,1.0,1.0,True
full,1,5249,5249,1.0,1.0,True
full,5,5249,5249,1.0,1.0,True
head_only,1,1089,17,1.0,0.9977,True
