k,unique_conflicts,acquisition_fraction
2,10,0.0
2,40,1.0
2,50,1.0
2,100,1.0
2,160,1.0
2,200,1.0
2,400,1.0
2,800,1.0
2,1600,1.0
2,3200,1.0
2,6400,1.0
3,10,0.0
3,40,0.075
3,50,0.2
3,100,1.0
3,160,1.0
3,200,1.0
3,400,1.0
3,800,1.0
3,1600,1.0
3,3200,1.0
3,6400,1.0
4,10,0.0
4,40,0.0
4,50,0.0
4,100,0.55
4,160,1.0
4,200,1.0
4,400,1.0
4,800,1.0
4,1600,1.0
4,3200,1.0
4,6400,1.0
5,10,0.0
5,40,0.0
5,50,0.0
5,100,0.0
5,160,0.125
5,200,0.475
5,400,0.9875
5,800,1.0
5,1600,1.0
5,3200,1.0
5,6400,1.0
