algorithm,entropy,budget,requested_budget,rho_y,train_rho_y
rl,0,1024,1024,0.0,0.9
rl,4,1,1,0.2684,0.6808
on_policy_imitation,2,5897,full,0.8345,0.828
rl,2,1,1,0.4909,0.4904
on_policy_imitation,2,5897,full,0.9233,0.9539
on_policy_imitation,2,1024,1024,0.9499,0.9852
on_policy_imitation,0,1,1,0.5,0.5
rl,2,1,1,0.5,0.5
rl,4,256,256,0.0,0.9
rl,2,1024,1024,0.0,0.9
trajectory_sft,4,256,256,0.0,0.9
clean_sft,4,1,1,0.4948,0.4945
on_policy_imitation,4,16,16,0.1572,0.7862
rl,4,16,16,0.1822,0.7764
rl,8,1024,1024,0.0,0.9
on_policy_imitation,0,1,1,0.5254,0.4852
on_policy_imitation,0,1024,1024,0.9499,0.9852
clean_sft,2,256,256,0.8187,0.9858
on_policy_imitation,8,5897,full,0.8345,0.828
clean_sft,0,64,64,0.0,0.9
rl,4,16,16,0.2171,0.7473
rl,8,256,256,0.0,0.9
rl,4,1024,1024,0.0,0.9
on_policy_imitation,8,4,4,0.2064,0.7159
on_policy_imitation,4,16,16,0.2746,0.6953
rl,0,256,256,0.0,0.9
rl,0,4,4,0.3813,0.5922
clean_sft,8,16,16,0.0999,0.8251
on_policy_imitation,4,256,256,0.1771,0.8899
rl,0,5897,full,0.0,0.9
clean_sft,8,16,16,0.1329,0.7901
trajectory_sft,8,256,256,0.0,0.9
trajectory_sft,0,1,1,0.5313,0.489
trajectory_sft,2,256,256,0.0008,0.9
rl,8,1,1,0.3875,0.6098
trajectory_sft,0,1,1,0.7204,0.3283
rl,2,64,64,0.0004,0.9
clean_sft,0,4,4,0.2804,0.6857
on_policy_imitation,0,1024,1024,0.9907,0.9993
clean_sft,8,16,16,0.1405,0.7934
rl,2,1024,1024,0.0,0.9
trajectory_sft,0,256,256,0.2195,0.9238
rl,8,4,4,0.3626,0.605
trajectory_sft,0,16,16,0.1191,0.8168
rl,0,1,1,0.4352,0.5379
on_policy_imitation,4,256,256,0.4422,0.8437
rl,4,1024,1024,0.0,0.9
clean_sft,2,256,256,0.4112,0.9436
trajectory_sft,0,1024,1024,1.0,1.0
on_policy_imitation,2,256,256,0.2115,0.8839
on_policy_imitation,0,64,64,0.0433,0.8697
trajectory_sft,2,64,64,0.0004,0.9
trajectory_sft,8,1,1,0.3987,0.6049
trajectory_sft,2,1,1,0.4657,0.5086
on_policy_imitation,4,16,16,0.2696,0.6909
trajectory_sft,8,5897,full,1.0,1.0
clean_sft,4,5897,full,1.0,1.0
trajectory_sft,0,256,256,0.8187,0.9858
on_policy_imitation,0,64,64,0.0269,0.8845
on_policy_imitation,8,1024,1024,0.9499,0.9852
clean_sft,8,16,16,0.1378,0.7678
on_policy_imitation,8,4,4,0.4115,0.57
on_policy_imitation,8,16,16,0.2746,0.6953
trajectory_sft,2,1,1,0.5,0.5
trajectory_sft,0,4,4,0.3362,0.6376
on_policy_imitation,0,1024,1024,0.9246,0.9605
clean_sft,8,1,1,0.4649,0.528
rl,8,4,4,0.3363,0.6146
trajectory_sft,0,5897,full,1.0,1.0
trajectory_sft,0,4,4,0.3587,0.6156
clean_sft,4,16,16,0.0556,0.8618
on_policy_imitation,2,1024,1024,0.936,0.9725
rl,2,4,4,0.3806,0.6015
on_policy_imitation,4,1024,1024,0.946,0.9839
clean_sft,2,1,1,0.5636,0.448
clean_sft,8,16,16,0.129,0.8039
on_policy_imitation,4,64,64,0.0768,0.84
rl,4,1,1,0.4407,0.5287
on_policy_imitation,4,256,256,0.2115,0.8839
rl,0,5897,full,0.0,0.9
clean_sft,8,1024,1024,1.0,1.0
on_policy_imitation,2,1024,1024,0.9117,0.918
trajectory_sft,2,1024,1024,1.0,1.0
on_policy_imitation,2,1,1,0.6504,0.3965
trajectory_sft,8,1024,1024,1.0,1.0
trajectory_sft,2,256,256,0.0,0.9
clean_sft,4,5897,full,1.0,1.0
trajectory_sft,8,4,4,0.4793,0.5115
rl,8,256,256,0.0,0.9
trajectory_sft,8,4,4,0.4694,0.5288
trajectory_sft,4,16,16,0.1649,0.7776
rl,8,16,16,0.2017,0.7484
trajectory_sft,4,16,16,0.1052,0.8101
on_policy_imitation,4,16,16,0.221,0.7196
on_policy_imitation,2,64,64,0.1106,0.8126
clean_sft,0,1,1,0.5,0.4999
clean_sft,4,1024,1024,1.0,1.0
trajectory_sft,8,1024,1024,1.0,1.0
rl,0,16,16,0.1379,0.7974
rl,0,1,1,0.515,0.4808
on_policy_imitation,8,5897,full,0.6492,0.7263
trajectory_sft,8,5897,full,1.0,1.0
trajectory_sft,4,64,64,0.0068,0.898
on_policy_imitation,0,256,256,0.1771,0.8899
on_policy_imitation,2,4,4,0.4826,0.5262
trajectory_sft,2,1,1,0.5801,0.4389
rl,4,1024,1024,0.0,0.9
rl,4,1024,1024,0.0,0.9
clean_sft,0,1024,1024,1.0,1.0
on_policy_imitation,4,256,256,0.1184,0.8694
rl,2,4,4,0.3461,0.5845
rl,2,4,4,0.2481,0.6861
trajectory_sft,2,4,4,0.3224,0.6368
trajectory_sft,0,16,16,0.0912,0.8409
on_policy_imitation,8,64,64,0.1106,0.8126
on_policy_imitation,4,5897,full,0.9957,0.9938
on_policy_imitation,4,256,256,0.0228,0.8889
trajectory_sft,0,256,256,0.8733,0.9892
rl,0,5897,full,0.0,0.9
on_policy_imitation,0,1024,1024,0.8502,0.9501
trajectory_sft,8,4,4,0.5203,0.4909
trajectory_sft,8,256,256,0.0,0.9
trajectory_sft,8,16,16,0.1358,0.8017
rl,0,5897,full,0.0,0.9
clean_sft,0,1,1,0.4948,0.4945
rl,0,64,64,0.0,0.9
on_policy_imitation,4,256,256,0.1145,0.8623
rl,8,256,256,0.0,0.9
trajectory_sft,2,256,256,0.0,0.9
clean_sft,2,4,4,0.4497,0.5453
rl,4,1,1,0.3965,0.6096
rl,8,256,256,0.0,0.9
trajectory_sft,0,256,256,0.8139,0.9854
on_policy_imitation,2,5897,full,0.824,0.8681
on_policy_imitation,0,4,4,0.4115,0.57
clean_sft,0,16,16,0.0697,0.8471
trajectory_sft,2,64,64,0.0072,0.8993
on_policy_imitation,2,1,1,0.4665,0.5276
rl,8,4,4,0.303,0.6742
on_policy_imitation,2,5897,full,1.0,1.0
clean_sft,0,64,64,0.0004,0.9
clean_sft,0,64,64,0.0005,0.9
clean_sft,2,256,256,0.0778,0.9105
on_policy_imitation,2,1,1,0.5254,0.4852
on_policy_imitation,8,5897,full,0.9233,0.9539
clean_sft,2,5897,full,1.0,1.0
rl,4,5897,full,0.0,0.9
trajectory_sft,8,64,64,0.0063,0.8956
on_policy_imitation,8,1,1,0.6504,0.3965
on_policy_imitation,0,1024,1024,0.946,0.9839
trajectory_sft,4,5897,full,1.0,1.0
on_policy_imitation,8,256,256,0.2286,0.8045
trajectory_sft,4,1024,1024,1.0,1.0
on_policy_imitation,4,1024,1024,0.9117,0.918
trajectory_sft,0,1,1,0.4948,0.4945
trajectory_sft,0,4,4,0.4497,0.5453
trajectory_sft,8,1,1,0.507,0.4848
rl,0,64,64,0.0004,0.9
on_policy_imitation,0,1,1,0.5003,0.5
rl,2,256,256,0.0,0.9
on_policy_imitation,8,5897,full,0.7514,0.7706
