algorithm,structure,presentations,estimate,ci_low,ci_high,n_seeds
clean_sft,step,20480,0.135586875,0.129514578125,0.141472734375,10
clean_sft,step,81920,0.2873075,0.26388603125000004,0.31618040625000005,10
clean_sft,step,327680,0.20417375,0.19097999999999998,0.21619410937500003,10
clean_sft,episode,20480,0.12275,0.11723178124999999,0.12785096875,10
clean_sft,episode,81920,0.28202249999999995,0.25952537499999995,0.31054178125,10
clean_sft,episode,327680,0.20403500000000002,0.190110296875,0.21665342187500003,10
clean_sft,state,20480,0.0734225,0.057021421875,0.08991692187499999,10
clean_sft,state,81920,0.16459625000000003,0.1405075,0.19060754687499998,10
clean_sft,state,327680,0.10662,0.092590234375,0.11809565625000003,10
rl,step,20480,0.091045,0.085444734375,0.09617976562500001,10
rl,step,81920,0.352425,0.32816171875,0.37263895312499995,10
rl,step,327680,0.6455725000000001,0.623979421875,0.67010103125,10
rl,episode,20480,0.08749062500000002,0.08074934375,0.09369953125,10
rl,episode,81920,0.246365,0.20667001562500004,0.287720625,10
rl,episode,327680,0.5748218749999999,0.5304058124999999,0.61846184375,10
rl,state,20480,0.049253124999999995,0.0291986875,0.068368625,10
rl,state,81920,0.10159375000000001,0.07411134374999999,0.130287890625,10
rl,state,327680,0.35554562500000003,0.31297167187499997,0.39573126562500005,10
