algorithm,comparison,metric,estimate,ci_low,ci_high,n_seeds
all,step,signed_gap,0.0442626171875,0.0411222958984375,0.047530468749999985,10
all,state,signed_gap,0.023149609374999998,0.020262615234374996,0.0258327197265625,10
all,step_minus_state,signed_gap,0.0211130078125,0.0175094501953125,0.025025502929687506,10
all,step,gap_to_zero,-0.0440922265625,-0.0471797099609375,-0.041033379882812505,10
all,state,gap_to_zero,-0.0233690625,-0.02597108203125,-0.02044762890625,10
all,step_minus_state,gap_to_zero,-0.0207231640625,-0.02498046875,-0.016693168945312503,10
clean_sft,step,signed_gap,0.01714671875,0.01317407421875,0.021196203125000004,10
clean_sft,state,signed_gap,0.008299375,0.004064683593749999,0.012822542968750003,10
clean_sft,step_minus_state,signed_gap,0.008847343750000004,0.005825097656250001,0.012187292968750003,10
clean_sft,step,gap_to_zero,-0.017066406250000003,-0.0208250625,-0.013410917968750002,10
clean_sft,state,gap_to_zero,-0.005967499999999999,-0.01056507421875,-0.001365027343749996,10
clean_sft,step_minus_state,gap_to_zero,-0.011098906250000002,-0.013709675781250003,-0.009184796875000002,10
trajectory_sft,step,signed_gap,0.011493593749999998,0.007914156249999998,0.01530785546875,10
trajectory_sft,state,signed_gap,0.0038740625,-0.0008280351562499998,0.008232046875000001,10
trajectory_sft,step_minus_state,signed_gap,0.007619531249999999,0.0048786953125,0.01087282421875,10
trajectory_sft,step,gap_to_zero,-0.01139859375,-0.0152242734375,-0.007527304687499997,10
trajectory_sft,state,gap_to_zero,-0.0018328125000000005,-0.005607687499999999,0.0020092109374999986,10
trajectory_sft,step_minus_state,gap_to_zero,-0.009565781249999999,-0.0124784921875,-0.007152449218749996,10
on_policy_imitation,step,signed_gap,0.009778281250000001,0.0048749921875,0.014288234375000002,10
on_policy_imitation,state,signed_gap,0.0038518750000000003,-0.00030901562500000037,0.008007515625000003,10
on_policy_imitation,step_minus_state,signed_gap,0.00592640625,0.0026263203124999995,0.009563492187500001,10
on_policy_imitation,step,gap_to_zero,-0.009606406250000001,-0.013994554687499999,-0.005185488281249999,10
on_policy_imitation,state,gap_to_zero,-0.0016515624999999998,-0.006012234375,0.0030420898437500013,10
on_policy_imitation,step_minus_state,gap_to_zero,-0.007954843750000001,-0.01086461328125,-0.005612625,10
rl,step,signed_gap,0.13863187500000002,0.13308738671874998,0.14443709375000002,10
rl,state,signed_gap,0.07657312499999999,0.06676264453125,0.0855617265625,10
rl,step_minus_state,signed_gap,0.06205875000000001,0.05280423828125,0.07124644921875,10
rl,step,gap_to_zero,-0.13829750000000002,-0.14359973046875002,-0.13344505078125,10
rl,state,gap_to_zero,-0.084024375,-0.09388059765625001,-0.07477129296874999,10
rl,step_minus_state,gap_to_zero,-0.054273125,-0.06570073046875,-0.041926152343749995,10
