q_b,intervention,estimate,ci_low,ci_high,n_seeds
.50 neutral,Flip old proxy $P$,7.083333333333334e-05,0.0,0.00021250000000000002,10
0.4,Flip old proxy $P$,0.00020083333333333333,0.0,0.0006025,10
0.25,Flip old proxy $P$,0.0018466666666666666,0.0,0.005530833333333333,10
0.1,Flip old proxy $P$,0.01897916666666667,0.006390791666666667,0.0326005,10
0 perfect,Flip old proxy $P$,1.0,1.0,1.0,10
.50 neutral,Flip exact-code channel $R_i$,0.991756388888889,0.9752691666666667,1.0,10
0.4,Flip exact-code channel $R_i$,0.9997894444444444,0.9993683333333333,1.0,10
0.25,Flip exact-code channel $R_i$,0.99774,0.993233888888889,1.0,10
0.1,Flip exact-code channel $R_i$,0.9697416666666665,0.9341116666666668,0.9930962569444445,10
0 perfect,Flip exact-code channel $R_i$,0.0,0.0,0.0,10
