perturbation,n0,n_pairs,estimate,ci_low,ci_high,n_seeds
neutral,512,18,0.0007616666666666494,-0.001375000000000032,0.002951791666666631,10
neutral,2048,23,-0.0024250000000000083,-0.005135125000000006,0.0002450416666666637,10
neutral,8192,14,0.0046666666666666645,-0.0001559722222221995,0.009666666666666657,9
neutral,32768,11,0.006081250000000003,0.0017365625000000033,0.010926406250000038,8
intended_removal,512,18,0.0007616666666666494,-0.001303500000000018,0.0029466666666666257,10
intended_removal,2048,23,-0.0024250000000000083,-0.005058375000000006,0.00019016666666665926,10
intended_removal,8192,14,0.0046666666666666645,-0.0002669444444444393,0.009572222222222197,9
intended_removal,32768,11,0.006081250000000003,0.0016685937500000034,0.010912500000000006,8
partial_reversal,512,18,0.0020783333333333097,-0.000340125000000034,0.004566666666666658,10
partial_reversal,2048,23,-0.0012399999999999855,-0.0060583749999999935,0.0031867500000000103,10
partial_reversal,8192,14,0.0063611111111111325,0.0007656944444444469,0.011472361111111126,9
partial_reversal,32768,11,0.020364583333333332,0.01227343749999998,0.028525052083333342,8
weak_conflict,512,18,0.005113333333333321,-0.004285374999999996,0.015064249999999977,10
weak_conflict,2048,23,-0.0012250000000000056,-0.0076718750000000085,0.005465458333333331,10
weak_conflict,8192,14,0.008766666666666681,-0.004955833333333317,0.024426111111111138,9
weak_conflict,32768,11,0.03599374999999999,0.01567984374999996,0.06455531249999998,8
