depth,width,parameters,calibration_pass_fraction,selector_pass_fraction,mean_strict_switching
1,2,43,1.0,0.5,0.5584
1,4,85,1.0,0.9,0.90168
1,8,169,1.0,1.0,1.0
1,16,337,1.0,1.0,1.0
1,32,673,1.0,1.0,1.0
1,64,1345,1.0,1.0,1.0
1,128,2689,1.0,1.0,1.0
2,2,49,1.0,0.5,0.60414
2,4,105,1.0,1.0,1.0
2,8,241,1.0,1.0,1.0
2,16,609,1.0,1.0,1.0
2,32,1729,1.0,1.0,1.0
2,64,5505,1.0,1.0,1.0
2,128,19201,1.0,1.0,1.0
4,2,61,0.4,0.4,0.4
4,4,145,0.8,0.7,0.8
4,8,385,1.0,0.9,0.95
4,16,1153,1.0,1.0,1.0
4,32,3841,1.0,1.0,1.0
4,64,13825,1.0,1.0,1.0
4,128,52225,1.0,1.0,1.0
