budget,metric,estimate,ci_low,ci_high,n_seeds
1,weaker_single_rule,0.4913200000000001,0.47120000000000006,0.50877075,10
4,weaker_single_rule,0.5411400000000001,0.5238487500000001,0.55836075,10
16,weaker_single_rule,0.76854,0.7401895000000001,0.7926815,10
64,weaker_single_rule,0.9873200000000001,0.9839397499999999,0.9907405,10
256,weaker_single_rule,1.0,1.0,1.0,10
1024,weaker_single_rule,1.0,1.0,1.0,10
1,normal,0.5143099999999999,0.49120975,0.5417415,10
4,normal,0.56212,0.53564975,0.589981,10
16,normal,0.6976300000000001,0.680338,0.7151405000000001,10
64,normal,0.77008,0.76522,0.775481,10
256,normal,0.94256,0.9338497499999999,0.9515799999999999,10
1024,normal,1.0,1.0,1.0,10
1,strict_switching,0.02064,0.009580000000000002,0.033941000000000006,10
4,strict_switching,0.03164,0.0199195,0.041980500000000004,10
16,strict_switching,0.051239999999999994,0.04546,0.056700499999999994,10
64,strict_switching,0.12669999999999998,0.10995900000000002,0.1437,10
256,strict_switching,0.7693,0.7343995000000001,0.8046825,10
1024,strict_switching,1.0,1.0,1.0,10
