budget,condition,estimate,ci_low,ci_high,n_seeds
1,normal,0.5143099999999999,0.49155875000000004,0.54152125,10
4,normal,0.56212,0.5352297500000001,0.58918075,10
16,normal,0.6976300000000001,0.68028875,0.71505025,10
64,normal,0.77008,0.76522,0.7755602500000001,10
256,normal,0.94256,0.9335994999999999,0.9514499999999998,10
1024,normal,1.0,1.0,1.0,10
1,removed,0.5125599999999999,0.48972950000000004,0.5387415,10
4,removed,0.55317,0.530859,0.57715025,10
16,removed,0.6954899999999999,0.67734,0.7131705,10
64,removed,0.7484,0.7452700000000001,0.7514002500000001,10
256,removed,0.7507900000000001,0.74889975,0.75272,10
1024,removed,0.74987,0.7497297499999999,0.75003,10
1,randomized,0.5169400000000001,0.4942895,0.54447,10
4,randomized,0.56073,0.5357595,0.58766075,10
16,randomized,0.6978200000000001,0.6797987500000001,0.7153107499999999,10
64,randomized,0.7500699999999999,0.7474195,0.75259,10
256,randomized,0.7519399999999999,0.74958,0.7541402500000001,10
1024,randomized,0.7515499999999999,0.74909,0.7537702500000001,10
1,mismatch,0.51944,0.4964394999999999,0.54743025,10
4,mismatch,0.5605999999999999,0.535255,0.5883702500000001,10
16,mismatch,0.69844,0.6784787500000001,0.7167815,10
64,mismatch,0.7284700000000001,0.7244897499999999,0.73284,10
256,mismatch,0.5579500000000001,0.54935,0.5667202499999999,10
1024,mismatch,0.5,0.5,0.5,10
